# dual multiplier for the CMS Extremal Problem 2 constant C_+(A)
# m = 1 on [0,1], the cells below on [1,T], 0 past T; m even.
# C_+(A) <= sup_x |mcheck(x)|,  mcheck(x) = int e^{2 pi i x t} m(t) dt
# 300 geometric cells (p=2.2) on [1,7]; float sup on a 1e-4 grid (not a proof): 1.114682294
# certified in ARB: C_+(29) <= 1.11472   (certificates/cplus_dual_cert.py)
A = 29
T = 7
cell 1312727/1048576 660491/524288 1
cell 660491/524288 664687/524288 -73797/131072
cell 664687/524288 668953/524288 -551023/1048576
cell 668953/524288 673289/524288 1
cell 673289/524288 1355389/1048576 1
cell 1355389/1048576 1364341/1048576 1
cell 1364341/1048576 1373433/1048576 -1124445/1048576
cell 1373433/1048576 691333/524288 -449811/524288
cell 691333/524288 1392041/1048576 1
cell 1392041/1048576 1401557/1048576 1
cell 1401557/1048576 1411215/1048576 1
cell 1411215/1048576 177627/131072 690127/1048576
cell 177627/131072 1430959/1048576 -1898435/1048576
cell 1430959/1048576 720523/524288 1
cell 720523/524288 1451275/1048576 1
cell 1451275/1048576 1461649/1048576 -29539/1048576
cell 1461649/1048576 1472167/1048576 -326659/524288
cell 1472167/1048576 1482829/1048576 1
cell 1482829/1048576 1493635/1048576 1
cell 1493635/1048576 1504587/1048576 152503/1048576
cell 1504587/1048576 378921/262144 -501579/524288
cell 378921/262144 1526927/1048576 1
cell 1526927/1048576 384579/262144 713325/1048576
cell 384579/262144 1549851/1048576 -4279/262144
cell 1549851/1048576 1561533/1048576 1
cell 1561533/1048576 786681/524288 -218367/524288
cell 786681/524288 792669/524288 -527705/524288
cell 792669/524288 798731/524288 1
cell 798731/524288 1609733/1048576 1
cell 1609733/1048576 1622153/1048576 69761/262144
cell 1622153/1048576 1634721/1048576 53363/524288
cell 1634721/1048576 1647437/1048576 1
cell 1647437/1048576 1660303/1048576 -22561/131072
cell 1660303/1048576 836659/524288 -39899/32768
cell 836659/524288 1686483/1048576 1
cell 1686483/1048576 1699797/1048576 516757/1048576
cell 1699797/1048576 856631/524288 -334883/524288
cell 856631/524288 1726877/1048576 1
cell 1726877/1048576 1740643/1048576 1
cell 1740643/1048576 27415/16384 -185581/524288
cell 27415/16384 442157/262144 -238021/262144
cell 442157/262144 27857/16384 1
cell 27857/16384 449305/262144 62563/131072
cell 449305/262144 1811743/1048576 -771955/1048576
cell 1811743/1048576 1826419/1048576 1
cell 1826419/1048576 57539/32768 1
cell 57539/32768 1856229/1048576 -502471/262144
cell 1856229/1048576 467841/262144 1
cell 467841/262144 1886651/1048576 1
cell 1886651/1048576 1902093/1048576 -272497/262144
cell 1902093/1048576 1917689/1048576 458831/524288
cell 1917689/1048576 966719/524288 6573/131072
cell 966719/524288 974671/524288 198503/262144
cell 974671/524288 1965401/1048576 -537435/1048576
cell 1965401/1048576 1981615/1048576 -626925/1048576
cell 1981615/1048576 1997983/1048576 1
cell 1997983/1048576 503627/262144 -152603/1048576
cell 503627/262144 2031187/1048576 72503/131072
cell 2031187/1048576 2048023/1048576 -1035467/1048576
cell 2048023/1048576 2065015/1048576 956215/1048576
cell 2065015/1048576 2082163/1048576 1
cell 2082163/1048576 524867/262144 -682275/524288
cell 524867/262144 2116929/1048576 488073/1048576
cell 2116929/1048576 533637/262144 -7561/131072
cell 533637/262144 538081/262144 78537/1048576
cell 538081/262144 1085129/524288 195459/262144
cell 1085129/524288 2188349/1048576 -740579/1048576
cell 2188349/1048576 1103299/524288 701005/1048576
cell 1103299/524288 1112503/524288 -46513/65536
cell 1112503/524288 560893/262144 184051/262144
cell 560893/262144 2262297/1048576 -1115707/1048576
cell 2262297/1048576 570295/262144 1
cell 570295/262144 2300223/1048576 -25297/1048576
cell 2300223/1048576 2319425/1048576 17735/65536
cell 2319425/1048576 2338787/1048576 -7433/8192
cell 2338787/1048576 589577/262144 423667/524288
cell 589577/262144 1188995/524288 -851749/1048576
cell 1188995/524288 2397831/1048576 533741/1048576
cell 2397831/1048576 1208917/524288 -287973/524288
cell 1208917/524288 609499/262144 929171/1048576
cell 609499/262144 153645/65536 -440551/524288
cell 153645/65536 2478805/1048576 -176677/1048576
cell 2478805/1048576 2499451/1048576 1
cell 2499451/1048576 2520259/1048576 -82089/65536
cell 2520259/1048576 635307/262144 -21077/131072
cell 635307/262144 2562359/1048576 197823/524288
cell 2562359/1048576 645913/262144 47693/524288
cell 645913/262144 651277/262144 9341/65536
cell 651277/262144 1313363/524288 -329479/524288
cell 1313363/524288 2648507/1048576 -198531/1048576
cell 2648507/1048576 2670451/1048576 -219417/262144
cell 2670451/1048576 1346279/524288 1
cell 1346279/524288 2714829/1048576 -104797/524288
cell 2714829/1048576 2737263/1048576 -249825/1048576
cell 2737263/1048576 689965/262144 -372757/524288
cell 689965/262144 1391311/524288 -628947/1048576
cell 1391311/524288 701387/262144 216059/1048576
cell 701387/262144 1414319/524288 67557/262144
cell 1414319/524288 2851893/1048576 213771/1048576
cell 2851893/1048576 179707/65536 -169121/131072
cell 179707/65536 2898897/1048576 -143459/1048576
cell 2898897/1048576 1461323/524288 -1048583/1048576
cell 1461323/524288 2946561/1048576 1
cell 2946561/1048576 2970641/1048576 -99231/524288
cell 2970641/1048576 2994887/1048576 -676855/1048576
cell 2994887/1048576 3019299/1048576 -1457675/1048576
cell 3019299/1048576 3043877/1048576 -91561/1048576
cell 3043877/1048576 3068621/1048576 -38845/524288
cell 3068621/1048576 773383/262144 -635003/1048576
cell 773383/262144 3118609/1048576 -185047/1048576
cell 3118609/1048576 3143853/1048576 1
cell 3143853/1048576 198079/65536 1
cell 198079/65536 1597421/524288 1
cell 1597421/524288 805147/262144 1
cell 805147/262144 3246501/1048576 1
cell 3246501/1048576 1636291/524288 1
cell 1636291/524288 3298831/1048576 1
cell 3298831/1048576 51957/16384 -211933/131072
cell 51957/16384 3351833/1048576 -22431/1048576
cell 3351833/1048576 1689293/524288 1387/16384
cell 1689293/524288 851377/262144 1
cell 851377/262144 3432599/1048576 -819841/1048576
cell 3432599/1048576 3459859/1048576 -267527/1048576
cell 3459859/1048576 435911/131072 37161/1048576
cell 435911/131072 3514887/1048576 398307/1048576
cell 3514887/1048576 1771327/524288 -476199/1048576
cell 1771327/524288 111581/32768 79127/262144
cell 111581/32768 3598699/1048576 -535491/1048576
cell 3598699/1048576 3626977/1048576 340543/1048576
cell 3626977/1048576 14279/4096 2349/1048576
cell 14279/4096 1842021/524288 -520933/1048576
cell 1842021/524288 1856415/524288 367413/524288
cell 1856415/524288 3741789/1048576 -203445/262144
cell 3741789/1048576 3770919/1048576 1495/262144
cell 3770919/1048576 950055/262144 121357/262144
cell 950055/262144 957423/262144 -348103/1048576
cell 957423/262144 482417/131072 -83501/524288
cell 482417/131072 3889151/1048576 42253/1048576
cell 3889151/1048576 3919137/1048576 221199/1048576
cell 3919137/1048576 246831/65536 -511731/1048576
cell 246831/65536 1989813/524288 86515/262144
cell 1989813/524288 4010129/1048576 -231087/1048576
cell 4010129/1048576 1010201/262144 1727/131072
cell 1010201/262144 1017913/262144 -325857/1048576
cell 1017913/262144 256417/65536 445109/1048576
cell 256417/65536 4133865/1048576 -533087/1048576
cell 4133865/1048576 4165231/1048576 141453/262144
cell 4165231/1048576 2098385/524288 -99771/131072
cell 2098385/524288 2114241/524288 176789/524288
cell 2114241/524288 266273/65536 40675/1048576
cell 266273/65536 4292427/1048576 -295573/1048576
cell 4292427/1048576 4324661/1048576 12805/524288
cell 4324661/1048576 1089267/262144 6667/262144
cell 1089267/262144 4389649/1048576 100029/524288
cell 4389649/1048576 1105601/262144 -462691/1048576
cell 1105601/262144 2227667/524288 90427/524288
cell 2227667/524288 2244219/524288 -72801/1048576
cell 2244219/524288 4521717/1048576 122817/524288
cell 4521717/1048576 4555171/1048576 -347457/1048576
cell 4555171/1048576 17925/4096 52321/262144
cell 17925/4096 1155651/262144 -148221/524288
cell 1155651/262144 4656583/1048576 614559/1048576
cell 4656583/1048576 2345369/524288 -176113/524288
cell 2345369/524288 4725069/1048576 -195031/524288
cell 4725069/1048576 4759575/1048576 124889/262144
cell 4759575/1048576 4794257/1048576 347623/1048576
cell 4794257/1048576 4829115/1048576 -703339/1048576
cell 4829115/1048576 4864149/1048576 10397/1048576
cell 4864149/1048576 153105/32768 1
cell 153105/32768 4934747/1048576 -451749/1048576
cell 4934747/1048576 4970311/1048576 -593993/1048576
cell 4970311/1048576 5006051/1048576 326215/524288
cell 5006051/1048576 5041969/1048576 1
cell 5041969/1048576 5078063/1048576 -1534751/1048576
cell 5078063/1048576 5114335/1048576 719371/1048576
cell 5114335/1048576 80481/16384 1
cell 80481/16384 5187411/1048576 -181385/1048576
cell 5187411/1048576 5224215/1048576 -120645/1048576
cell 5224215/1048576 5261197/1048576 -262791/524288
cell 5261197/1048576 5298357/1048576 -186683/1048576
cell 5298357/1048576 333481/65536 411649/1048576
cell 333481/65536 1343303/262144 -491283/1048576
cell 1343303/262144 5410907/1048576 -344165/524288
cell 5410907/1048576 1362195/262144 45501/131072
cell 1362195/262144 342927/65536 115393/524288
cell 342927/65536 2762531/524288 -34057/65536
cell 2762531/524288 347717/65536 332879/1048576
cell 347717/65536 5602061/1048576 10057/262144
cell 5602061/1048576 5640829/1048576 -61467/524288
cell 5640829/1048576 177493/32768 2329/1048576
cell 177493/32768 5718903/1048576 147891/1048576
cell 5718903/1048576 5758209/1048576 -158607/1048576
cell 5758209/1048576 5797695/1048576 114093/1048576
cell 5797695/1048576 5837361/1048576 -58847/524288
cell 5837361/1048576 5877207/1048576 210301/1048576
cell 5877207/1048576 5917233/1048576 -101433/524288
cell 5917233/1048576 5957439/1048576 52193/524288
cell 5957439/1048576 2998913/524288 16919/1048576
cell 2998913/524288 3019197/524288 -19295/262144
cell 3019197/524288 3039571/524288 74187/1048576
cell 3039571/524288 6120071/1048576 -48775/1048576
cell 6120071/1048576 6161181/1048576 1077/16384
cell 6161181/1048576 775309/131072 -42193/1048576
cell 775309/131072 780493/131072 30755/524288
cell 780493/131072 3142799/524288 -11687/131072
cell 3142799/524288 6327433/1048576 176601/1048576
cell 6327433/1048576 3184725/524288 -120123/1048576
cell 3184725/524288 50091/8192 69637/1048576
cell 50091/8192 6454029/1048576 10513/262144
cell 6454029/1048576 6496591/1048576 -68095/1048576
cell 6496591/1048576 817417/131072 25991/524288
cell 817417/131072 6582263/1048576 66191/1048576
cell 6582263/1048576 1656343/262144 -18419/262144
cell 1656343/262144 833583/131072 10357/1048576
cell 833583/131072 3356069/524288 17661/262144
cell 3356069/524288 1688949/262144 -11379/262144
cell 1688949/262144 1699909/262144 -54283/524288
cell 1699909/262144 6843659/1048576 283193/1048576
cell 6843659/1048576 6887865/1048576 -53771/262144
cell 6887865/1048576 6932255/1048576 -9917/524288
cell 6932255/1048576 1744207/262144 86267/262144
cell 1744207/262144 7021585/1048576 -247639/524288
cell 7021585/1048576 7066525/1048576 216241/1048576
cell 7066525/1048576 3555825/524288 259465/1048576
cell 3555825/524288 3578479/524288 -352817/524288
cell 3578479/524288 3601225/524288 155007/262144
cell 3601225/524288 3624063/524288 -75641/262144
cell 3624063/524288 7293987/1048576 -452117/1048576
cell 7293987/1048576 7 257419/524288
