# dual multiplier for the CMS Extremal Problem 2 constant C_+(A)
# m = 1 on [0,1], the cells below on [1,T], 0 past T; m even.
# C_+(A) <= sup_x |mcheck(x)|,  mcheck(x) = int e^{2 pi i x t} m(t) dt
# 300 geometric cells (p=2.2) on [1,13]; float sup on a 1e-4 grid (not a proof): 1.108058735
# certified in ARB: C_+(19.5) <= 1.10809   (certificates/cplus_dual_cert.py)
A = 19.5
T = 13
cell 599039/524288 150803/131072 -148797/524288
cell 150803/131072 607509/524288 -3622503/1048576
cell 607509/524288 1223861/1048576 1
cell 1223861/1048576 1232955/1048576 1
cell 1232955/1048576 1242299/1048576 1
cell 1242299/1048576 1251897/1048576 902095/1048576
cell 1251897/1048576 315437/262144 1
cell 315437/262144 635927/524288 1
cell 635927/524288 1282215/1048576 1
cell 1282215/1048576 646417/524288 1
cell 646417/524288 651855/524288 1
cell 651855/524288 657423/524288 1
cell 657423/524288 1326241/1048576 1
cell 1326241/1048576 1337897/1048576 -71283/65536
cell 1337897/1048576 168727/131072 -477319/524288
cell 168727/131072 1361997/1048576 1
cell 1361997/1048576 687221/524288 1
cell 687221/524288 86697/65536 -68753/262144
cell 86697/65536 1400127/1048576 -706849/262144
cell 1400127/1048576 706685/524288 1
cell 706685/524288 1426879/1048576 1
cell 1426879/1048576 1440657/1048576 1
cell 1440657/1048576 1454705/1048576 1
cell 1454705/1048576 734511/524288 -840935/524288
cell 734511/524288 1483611/1048576 499381/524288
cell 1483611/1048576 1498471/1048576 1
cell 1498471/1048576 378401/262144 1
cell 378401/262144 764505/524288 1
cell 764505/524288 1544691/1048576 -521873/524288
cell 1544691/1048576 1560647/1048576 1
cell 1560647/1048576 1576879/1048576 274333/524288
cell 1576879/1048576 1593387/1048576 -1134799/524288
cell 1593387/1048576 1610173/1048576 1
cell 1610173/1048576 1627237/1048576 1
cell 1627237/1048576 411145/262144 207481/262144
cell 411145/262144 1662203/1048576 1
cell 1662203/1048576 840053/524288 -258765/131072
cell 840053/524288 849145/524288 1
cell 849145/524288 1716757/1048576 -37957/262144
cell 1716757/1048576 867753/524288 770463/1048576
cell 867753/524288 877269/524288 1
cell 877269/524288 1773855/1048576 -49707/65536
cell 1773855/1048576 112091/65536 57225/262144
cell 112091/65536 906671/524288 1
cell 906671/524288 1833515/1048576 -276457/524288
cell 1833515/1048576 1853975/1048576 45691/131072
cell 1853975/1048576 937361/524288 1
cell 937361/524288 1895757/1048576 -669327/524288
cell 1895757/1048576 1917081/1048576 1
cell 1917081/1048576 1938695/1048576 -15335/131072
cell 1938695/1048576 980299/524288 -270687/1048576
cell 980299/524288 1982793/1048576 1
cell 1982793/1048576 1002639/524288 86503/1048576
cell 1002639/524288 253507/131072 -544321/1048576
cell 253507/131072 2051127/1048576 1
cell 2051127/1048576 1037245/524288 -381387/524288
cell 1037245/524288 524537/262144 279493/1048576
cell 524537/262144 530525/262144 677875/1048576
cell 530525/262144 2146347/1048576 -884633/1048576
cell 2146347/1048576 1085445/524288 1
cell 1085445/524288 2195729/1048576 -200301/262144
cell 2195729/1048576 2220865/1048576 288979/524288
cell 2220865/1048576 2246299/1048576 62275/524288
cell 2246299/1048576 1136015/524288 -109495/262144
cell 1136015/524288 574515/262144 971573/1048576
cell 574515/262144 1162195/524288 -1508091/1048576
cell 1162195/524288 2351019/1048576 1
cell 2351019/1048576 594487/262144 -134213/262144
cell 594487/262144 2405179/1048576 423665/1048576
cell 2405179/1048576 2432711/1048576 -58737/1048576
cell 2432711/1048576 19223/8192 -480525/1048576
cell 19223/8192 2488681/1048576 159625/1048576
cell 2488681/1048576 19665/8192 -25113/1048576
cell 19665/8192 2545863/1048576 1063/131072
cell 2545863/1048576 1287455/524288 -518703/524288
cell 1287455/524288 1302131/524288 1
cell 1302131/524288 2633919/1048576 -198083/262144
cell 2633919/1048576 1331941/524288 -191043/1048576
cell 1331941/524288 2694151/1048576 -143769/524288
cell 2694151/1048576 2724727/1048576 148249/1048576
cell 2724727/1048576 1377805/524288 24069/65536
cell 1377805/524288 2786801/1048576 -141971/131072
cell 2786801/1048576 704575/262144 -481365/1048576
cell 704575/262144 2850109/1048576 -154797/524288
cell 2850109/1048576 1441113/524288 -46627/131072
cell 1441113/524288 2914653/1048576 176215/524288
cell 2914653/1048576 2947391/1048576 -65037/1048576
cell 2947391/1048576 2980439/1048576 -28161/131072
cell 2980439/1048576 3013799/1048576 -393815/262144
cell 3013799/1048576 1523735/524288 -280487/524288
cell 1523735/524288 1540727/524288 -200637/524288
cell 1540727/524288 1557875/524288 -201999/524288
cell 1557875/524288 393795/131072 1
cell 393795/131072 3185283/1048576 1
cell 3185283/1048576 402565/131072 1
cell 402565/131072 407009/131072 1
cell 407009/131072 3291939/1048576 1
cell 3291939/1048576 1664061/524288 1
cell 1664061/524288 3364621/1048576 146361/1048576
cell 3364621/1048576 850359/262144 -401201/1048576
cell 850359/262144 429821/131072 -605881/524288
cell 429821/131072 3476017/1048576 -410785/1048576
cell 3476017/1048576 3513785/1048576 421033/524288
cell 3513785/1048576 1775935/524288 575821/1048576
cell 1775935/524288 1795137/524288 -413557/1048576
cell 1795137/524288 1814499/524288 122481/524288
cell 1814499/524288 3668041/1048576 -605729/524288
cell 3668041/1048576 926851/262144 438383/1048576
cell 926851/262144 3747087/1048576 266569/524288
cell 3747087/1048576 3787091/1048576 -34593/32768
cell 3787091/1048576 3827417/1048576 230087/262144
cell 3827417/1048576 120877/32768 -209533/524288
cell 120877/32768 1954517/524288 -204147/1048576
cell 1954517/524288 1975163/524288 -78359/1048576
cell 1975163/524288 3991941/1048576 -148329/1048576
cell 3991941/1048576 504235/131072 50543/1048576
cell 504235/131072 2038071/524288 69977/524288
cell 2038071/524288 4118729/1048576 -342979/1048576
cell 4118729/1048576 520205/131072 -104741/1048576
cell 520205/131072 4204877/1048576 24611/1048576
cell 4204877/1048576 4248439/1048576 -75819/1048576
cell 4248439/1048576 2146163/524288 -55649/1048576
cell 2146163/524288 4336541/1048576 -10995/1048576
cell 4336541/1048576 4381081/1048576 -146131/1048576
cell 4381081/1048576 4425949/1048576 -82831/524288
cell 4425949/1048576 4471145/1048576 178745/524288
cell 4471145/1048576 1129167/262144 -142565/524288
cell 1129167/262144 570315/131072 -91509/1048576
cell 570315/131072 1152175/262144 48931/262144
cell 1152175/262144 2327605/524288 -131453/524288
cell 2327605/524288 146939/32768 199751/524288
cell 146939/32768 4749217/1048576 -264151/1048576
cell 4749217/1048576 1199179/262144 282279/1048576
cell 1199179/262144 2422273/524288 81635/1048576
cell 2422273/524288 2446353/524288 -606771/1048576
cell 2446353/524288 2470599/524288 944029/1048576
cell 2470599/524288 2495011/524288 76659/262144
cell 2495011/524288 2519589/524288 -62591/524288
cell 2519589/524288 2544333/524288 -37125/65536
cell 2544333/524288 5138487/1048576 102395/131072
cell 5138487/1048576 2594321/524288 1
cell 2594321/524288 2619565/524288 108001/524288
cell 2619565/524288 165311/32768 -1493219/1048576
cell 165311/32768 5341109/1048576 192477/524288
cell 5341109/1048576 674075/131072 272287/1048576
cell 674075/131072 2722213/524288 -1309051/1048576
cell 2722213/524288 1374147/262144 -542397/1048576
cell 1374147/262144 5549085/1048576 379451/1048576
cell 5549085/1048576 5601919/1048576 847671/1048576
cell 5601919/1048576 5655089/1048576 -536533/1048576
cell 5655089/1048576 1427149/262144 -159257/524288
cell 1427149/262144 5762441/1048576 -20811/1048576
cell 5762441/1048576 2908311/524288 542713/1048576
cell 2908311/524288 2935571/524288 -172381/524288
cell 2935571/524288 370375/65536 262511/1048576
cell 370375/65536 5981197/1048576 -193575/524288
cell 5981197/1048576 6036733/1048576 137579/524288
cell 6036733/1048576 95197/16384 42611/524288
cell 95197/16384 6148823/1048576 10773/1048576
cell 6148823/1048576 6205377/1048576 -73577/524288
cell 6205377/1048576 12231/2048 91089/524288
cell 12231/2048 1579877/262144 42877/1048576
cell 1579877/262144 6377085/1048576 13237/1048576
cell 6377085/1048576 6435003/1048576 21401/1048576
cell 6435003/1048576 6493263/1048576 16037/524288
cell 6493263/1048576 6551865/1048576 19627/131072
cell 6551865/1048576 6610809/1048576 -81683/524288
cell 6610809/1048576 416881/65536 40849/262144
cell 416881/65536 3364863/524288 2799/1048576
cell 3364863/524288 6789699/1048576 25769/524288
cell 6789699/1048576 214063/32768 -47931/524288
cell 214063/32768 6910677/1048576 66967/1048576
cell 6910677/1048576 3485841/524288 -113607/1048576
cell 3485841/524288 879129/131072 346929/1048576
cell 879129/131072 7094727/1048576 -593209/1048576
cell 7094727/1048576 223649/32768 -17059/524288
cell 223649/32768 3609577/524288 202021/524288
cell 3609577/524288 7281885/1048576 -337687/1048576
cell 7281885/1048576 1836241/262144 -970653/1048576
cell 1836241/262144 1852097/262144 925205/1048576
cell 1852097/262144 233505/32768 -26643/262144
cell 233505/32768 7536279/1048576 -169375/524288
cell 7536279/1048576 7600745/1048576 379951/524288
cell 7600745/1048576 7665559/1048576 65161/524288
cell 7665559/1048576 3865361/524288 -111857/262144
cell 3865361/524288 974529/131072 48355/1048576
cell 974529/131072 1965523/262144 313947/1048576
cell 1965523/262144 7928301/1048576 -107979/1048576
cell 7928301/1048576 7994859/1048576 -127679/1048576
cell 7994859/1048576 8061767/1048576 54683/1048576
cell 8061767/1048576 15877/2048 74567/524288
cell 15877/2048 1024579/131072 -139323/1048576
cell 1024579/131072 8264591/1048576 -28551/1048576
cell 8264591/1048576 8332901/1048576 88623/1048576
cell 8332901/1048576 8401561/1048576 -54193/1048576
cell 8401561/1048576 4235287/524288 -19903/524288
cell 4235287/524288 4269969/524288 2695/1048576
cell 4269969/524288 4304827/524288 -10499/1048576
cell 4304827/524288 4339861/524288 -31855/524288
cell 4339861/524288 136721/16384 14567/524288
cell 136721/16384 4410459/524288 -39699/1048576
cell 4410459/524288 8892045/1048576 -60633/1048576
cell 8892045/1048576 4481763/524288 35197/1048576
cell 4481763/524288 9035361/1048576 -16991/1048576
cell 9035361/1048576 9107551/1048576 -29397/1048576
cell 9107551/1048576 4590047/524288 -14729/262144
cell 4590047/524288 72289/8192 7387/32768
cell 72289/8192 4663123/524288 -13817/131072
cell 4663123/524288 4699927/524288 -27777/524288
cell 4699927/524288 9473819/1048576 489101/1048576
cell 9473819/1048576 9548139/1048576 -165039/524288
cell 9548139/1048576 9622815/1048576 91047/1048576
cell 9622815/1048576 1212231/131072 37569/1048576
cell 1212231/131072 9773237/1048576 -278959/1048576
cell 9773237/1048576 1231123/131072 94065/1048576
cell 1231123/131072 310159/32768 49771/524288
cell 310159/32768 10001549/1048576 -132129/1048576
cell 10001549/1048576 314949/32768 -10565/1048576
cell 314949/32768 10155545/1048576 104683/1048576
cell 10155545/1048576 10233081/1048576 -106655/1048576
cell 10233081/1048576 161109/16384 5823/524288
cell 161109/16384 10389229/1048576 41371/1048576
cell 10389229/1048576 5233921/524288 -41417/1048576
cell 5233921/524288 5273407/524288 9517/1048576
cell 5273407/524288 5313073/524288 17713/1048576
cell 5313073/524288 5352919/524288 -117/16384
cell 5352919/524288 5392945/524288 8033/524288
cell 5392945/524288 10866303/1048576 3409/524288
cell 10866303/1048576 10947077/1048576 29/131072
cell 10947077/1048576 2757053/262144 39599/1048576
cell 2757053/262144 2777427/262144 -4871/262144
cell 2777427/262144 5595783/524288 14967/524288
cell 5595783/524288 5636893/524288 20347/1048576
cell 5636893/524288 709773/65536 -37445/1048576
cell 709773/65536 714957/65536 -18817/1048576
cell 714957/65536 2880655/262144 29717/1048576
cell 2880655/262144 5803145/524288 -108413/1048576
cell 5803145/524288 11690323/1048576 44773/1048576
cell 11690323/1048576 11774721/1048576 -12393/1048576
cell 11774721/1048576 11859481/1048576 4239/1048576
cell 11859481/1048576 5972303/524288 53045/1048576
cell 5972303/524288 751881/65536 -38005/1048576
cell 751881/65536 12115949/1048576 -67/524288
cell 12115949/1048576 1525271/131072 8231/262144
cell 1525271/131072 12288751/1048576 -34439/1048576
cell 12288751/1048576 3093925/262144 26063/1048576
cell 3093925/262144 12463015/1048576 -553/524288
cell 12463015/1048576 12550695/1048576 -1763/262144
cell 12550695/1048576 6319371/524288 11685/1048576
cell 6319371/524288 12727155/1048576 -3427/1048576
cell 12727155/1048576 6407967/524288 161/1048576
cell 6407967/524288 12905081/1048576 667/1048576
cell 12905081/1048576 6497297/524288 -1349/524288
cell 6497297/524288 13084475/1048576 -95/262144
cell 13084475/1048576 13174723/1048576 -8847/1048576
cell 13174723/1048576 13265339/1048576 2781/1048576
cell 13265339/1048576 3339081/262144 -16601/1048576
cell 3339081/262144 3361919/262144 9471/1048576
cell 3361919/262144 6769699/524288 2059/1048576
cell 6769699/524288 13 2917/524288
