# dual multiplier for the CMS Extremal Problem 2 constant C_+(A)
# m = 1 on [0,1], the cells below on [1,T], 0 past T; m even.
# C_+(A) <= sup_x |mcheck(x)|,  mcheck(x) = int e^{2 pi i x t} m(t) dt
# 300 geometric cells (p=2.2) on [1,7]; float sup on a 1e-4 grid (not a proof): 1.116370899
# certified in ARB: C_+(26) <= 1.11642   (certificates/cplus_dual_cert.py)
A = 26
T = 7
cell 966719/524288 974671/524288 139663/262144
cell 974671/524288 1965401/1048576 15041/524288
cell 1965401/1048576 1981615/1048576 94249/262144
cell 1981615/1048576 1997983/1048576 1
cell 1997983/1048576 503627/262144 -733929/524288
cell 503627/262144 2031187/1048576 848741/1048576
cell 2031187/1048576 2048023/1048576 -93757/262144
cell 2048023/1048576 2065015/1048576 1
cell 2065015/1048576 2082163/1048576 -392793/1048576
cell 2082163/1048576 524867/262144 25881/65536
cell 524867/262144 2116929/1048576 -532117/524288
cell 2116929/1048576 533637/262144 98697/131072
cell 533637/262144 538081/262144 1
cell 538081/262144 1085129/524288 -358347/262144
cell 1085129/524288 2188349/1048576 384181/524288
cell 2188349/1048576 1103299/524288 44793/131072
cell 1103299/524288 1112503/524288 -1092827/1048576
cell 1112503/524288 560893/262144 1
cell 560893/262144 2262297/1048576 -128783/1048576
cell 2262297/1048576 570295/262144 436203/1048576
cell 570295/262144 2300223/1048576 -384403/262144
cell 2300223/1048576 2319425/1048576 1
cell 2319425/1048576 2338787/1048576 218947/262144
cell 2338787/1048576 589577/262144 -413411/262144
cell 589577/262144 1188995/524288 201897/262144
cell 1188995/524288 2397831/1048576 -492287/1048576
cell 2397831/1048576 1208917/524288 440911/1048576
cell 1208917/524288 609499/262144 -12893/262144
cell 609499/262144 153645/65536 -426031/1048576
cell 153645/65536 2478805/1048576 31399/131072
cell 2478805/1048576 2499451/1048576 2233/1048576
cell 2499451/1048576 2520259/1048576 -393223/1048576
cell 2520259/1048576 635307/262144 -221145/524288
cell 635307/262144 2562359/1048576 198707/1048576
cell 2562359/1048576 645913/262144 1
cell 645913/262144 651277/262144 -797399/524288
cell 651277/262144 1313363/524288 807335/1048576
cell 1313363/524288 2648507/1048576 -1745999/1048576
cell 2648507/1048576 2670451/1048576 1
cell 2670451/1048576 1346279/524288 -52041/524288
cell 1346279/524288 2714829/1048576 272395/524288
cell 2714829/1048576 2737263/1048576 -427705/524288
cell 2737263/1048576 689965/262144 -175185/131072
cell 689965/262144 1391311/524288 197397/262144
cell 1391311/524288 701387/262144 -660447/1048576
cell 701387/262144 1414319/524288 1
cell 1414319/524288 2851893/1048576 -896845/1048576
cell 2851893/1048576 179707/65536 -547097/1048576
cell 179707/65536 2898897/1048576 -442493/524288
cell 2898897/1048576 1461323/524288 -378155/1048576
cell 1461323/524288 2946561/1048576 1
cell 2946561/1048576 2970641/1048576 -362895/1048576
cell 2970641/1048576 2994887/1048576 -160437/262144
cell 2994887/1048576 3019299/1048576 -1832159/1048576
cell 3019299/1048576 3043877/1048576 728929/1048576
cell 3043877/1048576 3068621/1048576 -1410969/1048576
cell 3068621/1048576 773383/262144 1
cell 773383/262144 3118609/1048576 -76593/65536
cell 3118609/1048576 3143853/1048576 1
cell 3143853/1048576 198079/65536 1
cell 198079/65536 1597421/524288 1
cell 1597421/524288 805147/262144 1
cell 805147/262144 3246501/1048576 1
cell 3246501/1048576 1636291/524288 1
cell 1636291/524288 3298831/1048576 1
cell 3298831/1048576 51957/16384 -620709/524288
cell 51957/16384 3351833/1048576 -184043/1048576
cell 3351833/1048576 1689293/524288 -79649/262144
cell 1689293/524288 851377/262144 1
cell 851377/262144 3432599/1048576 -121919/524288
cell 3432599/1048576 3459859/1048576 -242945/524288
cell 3459859/1048576 435911/131072 -291531/1048576
cell 435911/131072 3514887/1048576 499285/524288
cell 3514887/1048576 1771327/524288 -258387/262144
cell 1771327/524288 111581/32768 599791/1048576
cell 111581/32768 3598699/1048576 -397219/1048576
cell 3598699/1048576 3626977/1048576 40151/524288
cell 3626977/1048576 14279/4096 -4893/131072
cell 14279/4096 1842021/524288 -290433/1048576
cell 1842021/524288 1856415/524288 152233/1048576
cell 1856415/524288 3741789/1048576 139055/1048576
cell 3741789/1048576 3770919/1048576 -71859/262144
cell 3770919/1048576 950055/262144 -148951/524288
cell 950055/262144 957423/262144 255017/524288
cell 957423/262144 482417/131072 -286671/1048576
cell 482417/131072 3889151/1048576 -292753/1048576
cell 3889151/1048576 3919137/1048576 170039/524288
cell 3919137/1048576 246831/65536 -237027/1048576
cell 246831/65536 1989813/524288 -251925/1048576
cell 1989813/524288 4010129/1048576 525157/1048576
cell 4010129/1048576 1010201/262144 -793333/1048576
cell 1010201/262144 1017913/262144 653163/1048576
cell 1017913/262144 256417/65536 -140719/262144
cell 256417/65536 4133865/1048576 97663/1048576
cell 4133865/1048576 4165231/1048576 162819/1048576
cell 4165231/1048576 2098385/524288 -129789/262144
cell 2098385/524288 2114241/524288 502893/1048576
cell 2114241/524288 266273/65536 -203803/524288
cell 266273/65536 4292427/1048576 62301/1048576
cell 4292427/1048576 4324661/1048576 -44115/1048576
cell 4324661/1048576 1089267/262144 85067/524288
cell 1089267/262144 4389649/1048576 -622765/1048576
cell 4389649/1048576 1105601/262144 403655/524288
cell 1105601/262144 2227667/524288 -430409/524288
cell 2227667/524288 2244219/524288 37011/65536
cell 2244219/524288 4521717/1048576 -186971/1048576
cell 4521717/1048576 4555171/1048576 -87725/524288
cell 4555171/1048576 17925/4096 237875/1048576
cell 17925/4096 1155651/262144 -170379/524288
cell 1155651/262144 4656583/1048576 260715/524288
cell 4656583/1048576 2345369/524288 -309173/1048576
cell 2345369/524288 4725069/1048576 -41965/131072
cell 4725069/1048576 4759575/1048576 98075/131072
cell 4759575/1048576 4794257/1048576 -40201/524288
cell 4794257/1048576 4829115/1048576 -805281/1048576
cell 4829115/1048576 4864149/1048576 545443/1048576
cell 4864149/1048576 153105/32768 341369/524288
cell 153105/32768 4934747/1048576 -32785/65536
cell 4934747/1048576 4970311/1048576 -54123/131072
cell 4970311/1048576 5006051/1048576 875691/1048576
cell 5006051/1048576 5041969/1048576 359333/524288
cell 5041969/1048576 5078063/1048576 -737571/524288
cell 5078063/1048576 5114335/1048576 5811/8192
cell 5114335/1048576 80481/16384 1
cell 80481/16384 5187411/1048576 -5661/131072
cell 5187411/1048576 5224215/1048576 -231207/524288
cell 5224215/1048576 5261197/1048576 -41045/524288
cell 5261197/1048576 5298357/1048576 -557133/1048576
cell 5298357/1048576 333481/65536 699169/1048576
cell 333481/65536 1343303/262144 -77991/131072
cell 1343303/262144 5410907/1048576 -541077/1048576
cell 5410907/1048576 1362195/262144 13097/524288
cell 1362195/262144 342927/65536 266237/524288
cell 342927/65536 2762531/524288 -75681/131072
cell 2762531/524288 347717/65536 41601/262144
cell 347717/65536 5602061/1048576 200703/1048576
cell 5602061/1048576 5640829/1048576 -99697/524288
cell 5640829/1048576 177493/32768 -93/65536
cell 177493/32768 5718903/1048576 283/2048
cell 5718903/1048576 5758209/1048576 -41189/524288
cell 5758209/1048576 5797695/1048576 -5183/1048576
cell 5797695/1048576 5837361/1048576 76035/1048576
cell 5837361/1048576 5877207/1048576 -108097/1048576
cell 5877207/1048576 5917233/1048576 78795/524288
cell 5917233/1048576 5957439/1048576 -81669/524288
cell 5957439/1048576 2998913/524288 91001/524288
cell 2998913/524288 3019197/524288 -10755/65536
cell 3019197/524288 3039571/524288 2277/16384
cell 3039571/524288 6120071/1048576 -74783/1048576
cell 6120071/1048576 6161181/1048576 34887/1048576
cell 6161181/1048576 775309/131072 -4447/262144
cell 775309/131072 780493/131072 58773/1048576
cell 780493/131072 3142799/524288 -18193/524288
cell 3142799/524288 6327433/1048576 66417/1048576
cell 6327433/1048576 3184725/524288 -46181/1048576
cell 3184725/524288 50091/8192 93783/1048576
cell 50091/8192 6454029/1048576 -25437/262144
cell 6454029/1048576 6496591/1048576 149163/1048576
cell 6496591/1048576 817417/131072 -62969/524288
cell 817417/131072 6582263/1048576 133303/1048576
cell 6582263/1048576 1656343/262144 -102695/1048576
cell 1656343/262144 833583/131072 78603/1048576
cell 833583/131072 3356069/524288 -12389/524288
cell 3356069/524288 1688949/262144 70349/1048576
cell 1688949/262144 1699909/262144 -38723/262144
cell 1699909/262144 6843659/1048576 143105/524288
cell 6843659/1048576 6887865/1048576 -40331/131072
cell 6887865/1048576 6932255/1048576 78781/524288
cell 6932255/1048576 1744207/262144 188703/1048576
cell 1744207/262144 7021585/1048576 -215377/524288
cell 7021585/1048576 7066525/1048576 286543/1048576
cell 7066525/1048576 3555825/524288 111481/1048576
cell 3555825/524288 3578479/524288 -609665/1048576
cell 3578479/524288 3601225/524288 607987/1048576
cell 3601225/524288 3624063/524288 -136175/524288
cell 3624063/524288 7293987/1048576 -511161/1048576
cell 7293987/1048576 7 269711/524288
