# dual multiplier for the CMS Extremal Problem 2 constant C_+(A)
# m = 1 on [0,1], the cells below on [1,T], 0 past T; m even.
# C_+(A) <= sup_x |mcheck(x)|,  mcheck(x) = int e^{2 pi i x t} m(t) dt
# 300 geometric cells (p=2.2) on [1,7]; float sup on a 1e-4 grid (not a proof): 1.116048509
# certified in ARB: C_+(26.5) <= 1.11609   (certificates/cplus_dual_cert.py)
A = 26.5
T = 7
cell 1740643/1048576 27415/16384 1
cell 27415/16384 442157/262144 684023/1048576
cell 442157/262144 27857/16384 -1017039/1048576
cell 27857/16384 449305/262144 1
cell 449305/262144 1811743/1048576 -537099/524288
cell 1811743/1048576 1826419/1048576 105833/524288
cell 1826419/1048576 57539/32768 1
cell 57539/32768 1856229/1048576 1
cell 1856229/1048576 467841/262144 -843705/1048576
cell 467841/262144 1886651/1048576 -640633/1048576
cell 1886651/1048576 1902093/1048576 1
cell 1902093/1048576 1917689/1048576 225569/524288
cell 1917689/1048576 966719/524288 -522777/1048576
cell 966719/524288 974671/524288 411913/524288
cell 974671/524288 1965401/1048576 -692435/1048576
cell 1965401/1048576 1981615/1048576 1
cell 1981615/1048576 1997983/1048576 -85059/1048576
cell 1997983/1048576 503627/262144 -548781/524288
cell 503627/262144 2031187/1048576 1
cell 2031187/1048576 2048023/1048576 242047/262144
cell 2048023/1048576 2065015/1048576 -803043/1048576
cell 2065015/1048576 2082163/1048576 584411/1048576
cell 2082163/1048576 524867/262144 -370373/524288
cell 524867/262144 2116929/1048576 67999/131072
cell 2116929/1048576 533637/262144 -149425/524288
cell 533637/262144 538081/262144 1
cell 538081/262144 1085129/524288 -546705/524288
cell 1085129/524288 2188349/1048576 978927/1048576
cell 2188349/1048576 1103299/524288 32317/65536
cell 1103299/524288 1112503/524288 -433187/262144
cell 1112503/524288 560893/262144 1
cell 560893/262144 2262297/1048576 -72305/524288
cell 2262297/1048576 570295/262144 263115/524288
cell 570295/262144 2300223/1048576 -490035/1048576
cell 2300223/1048576 2319425/1048576 -61067/1048576
cell 2319425/1048576 2338787/1048576 55545/131072
cell 2338787/1048576 589577/262144 -329917/524288
cell 589577/262144 1188995/524288 531635/1048576
cell 1188995/524288 2397831/1048576 -39633/1048576
cell 2397831/1048576 1208917/524288 -919165/1048576
cell 1208917/524288 609499/262144 1
cell 609499/262144 153645/65536 -98997/131072
cell 153645/65536 2478805/1048576 647069/1048576
cell 2478805/1048576 2499451/1048576 -108365/524288
cell 2499451/1048576 2520259/1048576 -1093191/1048576
cell 2520259/1048576 635307/262144 614087/1048576
cell 635307/262144 2562359/1048576 -294129/1048576
cell 2562359/1048576 645913/262144 1
cell 645913/262144 651277/262144 -1433145/1048576
cell 651277/262144 1313363/524288 64997/262144
cell 1313363/524288 2648507/1048576 -460975/1048576
cell 2648507/1048576 2670451/1048576 -569375/1048576
cell 2670451/1048576 1346279/524288 1
cell 1346279/524288 2714829/1048576 -363449/1048576
cell 2714829/1048576 2737263/1048576 165241/524288
cell 2737263/1048576 689965/262144 -1154829/524288
cell 689965/262144 1391311/524288 416095/524288
cell 1391311/524288 701387/262144 -172689/524288
cell 701387/262144 1414319/524288 1
cell 1414319/524288 2851893/1048576 -144007/131072
cell 2851893/1048576 179707/65536 -368225/1048576
cell 179707/65536 2898897/1048576 -102885/131072
cell 2898897/1048576 1461323/524288 -14629/32768
cell 1461323/524288 2946561/1048576 1
cell 2946561/1048576 2970641/1048576 -690949/1048576
cell 2970641/1048576 2994887/1048576 -48669/1048576
cell 2994887/1048576 3019299/1048576 -32387/16384
cell 3019299/1048576 3043877/1048576 709919/1048576
cell 3043877/1048576 3068621/1048576 -1477613/1048576
cell 3068621/1048576 773383/262144 1
cell 773383/262144 3118609/1048576 -1136257/1048576
cell 3118609/1048576 3143853/1048576 1
cell 3143853/1048576 198079/65536 1
cell 198079/65536 1597421/524288 1
cell 1597421/524288 805147/262144 1
cell 805147/262144 3246501/1048576 1
cell 3246501/1048576 1636291/524288 1
cell 1636291/524288 3298831/1048576 1
cell 3298831/1048576 51957/16384 -1153763/1048576
cell 51957/16384 3351833/1048576 -17831/32768
cell 3351833/1048576 1689293/524288 47501/1048576
cell 1689293/524288 851377/262144 1
cell 851377/262144 3432599/1048576 -357529/1048576
cell 3432599/1048576 3459859/1048576 -577387/1048576
cell 3459859/1048576 435911/131072 -69201/1048576
cell 435911/131072 3514887/1048576 104535/131072
cell 3514887/1048576 1771327/524288 -262561/262144
cell 1771327/524288 111581/32768 163203/262144
cell 111581/32768 3598699/1048576 -146627/1048576
cell 3598699/1048576 3626977/1048576 -626781/1048576
cell 3626977/1048576 14279/4096 738383/1048576
cell 14279/4096 1842021/524288 -336079/524288
cell 1842021/524288 1856415/524288 303969/1048576
cell 1856415/524288 3741789/1048576 -68255/524288
cell 3741789/1048576 3770919/1048576 108287/1048576
cell 3770919/1048576 950055/262144 -675425/1048576
cell 950055/262144 957423/262144 801811/1048576
cell 957423/262144 482417/131072 -159911/524288
cell 482417/131072 3889151/1048576 -590449/1048576
cell 3889151/1048576 3919137/1048576 158955/262144
cell 3919137/1048576 246831/65536 -35695/262144
cell 246831/65536 1989813/524288 -245315/524288
cell 1989813/524288 4010129/1048576 453055/1048576
cell 4010129/1048576 1010201/262144 -418399/1048576
cell 1010201/262144 1017913/262144 213207/1048576
cell 1017913/262144 256417/65536 -358537/1048576
cell 256417/65536 4133865/1048576 408467/1048576
cell 4133865/1048576 4165231/1048576 -512897/1048576
cell 4165231/1048576 2098385/524288 1261/65536
cell 2098385/524288 2114241/524288 268613/1048576
cell 2114241/524288 266273/65536 -304239/1048576
cell 266273/65536 4292427/1048576 37005/524288
cell 4292427/1048576 4324661/1048576 -43179/131072
cell 4324661/1048576 1089267/262144 518707/1048576
cell 1089267/262144 4389649/1048576 -506115/1048576
cell 4389649/1048576 1105601/262144 42071/262144
cell 1105601/262144 2227667/524288 -28675/524288
cell 2227667/524288 2244219/524288 -16335/524288
cell 2244219/524288 4521717/1048576 31449/1048576
cell 4521717/1048576 4555171/1048576 15571/262144
cell 4555171/1048576 17925/4096 -221465/1048576
cell 17925/4096 1155651/262144 17839/1048576
cell 1155651/262144 4656583/1048576 479587/1048576
cell 4656583/1048576 2345369/524288 -256351/524288
cell 2345369/524288 4725069/1048576 -45091/1048576
cell 4725069/1048576 4759575/1048576 451843/1048576
cell 4759575/1048576 4794257/1048576 228493/1048576
cell 4794257/1048576 4829115/1048576 -453023/524288
cell 4829115/1048576 4864149/1048576 355931/1048576
cell 4864149/1048576 153105/32768 514241/524288
cell 153105/32768 4934747/1048576 -408991/524288
cell 4934747/1048576 4970311/1048576 -36327/131072
cell 4970311/1048576 5006051/1048576 831375/1048576
cell 5006051/1048576 5041969/1048576 629225/1048576
cell 5041969/1048576 5078063/1048576 -620659/524288
cell 5078063/1048576 5114335/1048576 552345/1048576
cell 5114335/1048576 80481/16384 1
cell 80481/16384 5187411/1048576 17643/524288
cell 5187411/1048576 5224215/1048576 -28791/65536
cell 5224215/1048576 5261197/1048576 -9715/65536
cell 5261197/1048576 5298357/1048576 -15813/32768
cell 5298357/1048576 333481/65536 688173/1048576
cell 333481/65536 1343303/262144 -19913/32768
cell 1343303/262144 5410907/1048576 -69273/131072
cell 5410907/1048576 1362195/262144 16045/262144
cell 1362195/262144 342927/65536 140357/262144
cell 342927/65536 2762531/524288 -177315/262144
cell 2762531/524288 347717/65536 36789/131072
cell 347717/65536 5602061/1048576 24471/262144
cell 5602061/1048576 5640829/1048576 -67111/524288
cell 5640829/1048576 177493/32768 -6023/262144
cell 177493/32768 5718903/1048576 31753/262144
cell 5718903/1048576 5758209/1048576 -11157/1048576
cell 5758209/1048576 5797695/1048576 -115649/1048576
cell 5797695/1048576 5837361/1048576 164979/1048576
cell 5837361/1048576 5877207/1048576 -166357/1048576
cell 5877207/1048576 5917233/1048576 106273/524288
cell 5917233/1048576 5957439/1048576 -240391/1048576
cell 5957439/1048576 2998913/524288 255917/1048576
cell 2998913/524288 3019197/524288 -93189/524288
cell 3019197/524288 3039571/524288 64395/1048576
cell 3039571/524288 6120071/1048576 11673/262144
cell 6120071/1048576 6161181/1048576 -60475/1048576
cell 6161181/1048576 775309/131072 4657/65536
cell 775309/131072 780493/131072 -57947/1048576
cell 780493/131072 3142799/524288 21581/262144
cell 3142799/524288 6327433/1048576 -12959/1048576
cell 6327433/1048576 3184725/524288 -4405/262144
cell 3184725/524288 50091/8192 75489/1048576
cell 50091/8192 6454029/1048576 -21635/1048576
cell 6454029/1048576 6496591/1048576 2681/1048576
cell 6496591/1048576 817417/131072 31733/1048576
cell 817417/131072 6582263/1048576 -7609/524288
cell 6582263/1048576 1656343/262144 20383/524288
cell 1656343/262144 833583/131072 -1911/32768
cell 833583/131072 3356069/524288 96201/1048576
cell 3356069/524288 1688949/262144 -12645/524288
cell 1688949/262144 1699909/262144 -53575/524288
cell 1699909/262144 6843659/1048576 264377/1048576
cell 6843659/1048576 6887865/1048576 -139491/524288
cell 6887865/1048576 6932255/1048576 37273/524288
cell 6932255/1048576 1744207/262144 294147/1048576
cell 1744207/262144 7021585/1048576 -524993/1048576
cell 7021585/1048576 7066525/1048576 171475/524288
cell 7066525/1048576 3555825/524288 12207/131072
cell 3555825/524288 3578479/524288 -36801/65536
cell 3578479/524288 3601225/524288 562571/1048576
cell 3601225/524288 3624063/524288 -56937/262144
cell 3624063/524288 7293987/1048576 -133779/262144
cell 7293987/1048576 7 543587/1048576
