# dual multiplier for the CMS Extremal Problem 2 constant C_+(A)
# m = 1 on [0,1], the cells below on [1,T], 0 past T; m even.
# C_+(A) <= sup_x |mcheck(x)|,  mcheck(x) = int e^{2 pi i x t} m(t) dt
# 300 geometric cells (p=2.2) on [1,13]; float sup on a 1e-4 grid (not a proof): 1.107868645
# certified in ARB: C_+(22) <= 1.10789   (certificates/cplus_dual_cert.py)
A = 22
T = 13
cell 657423/524288 1326241/1048576 1
cell 1326241/1048576 1337897/1048576 -909435/524288
cell 1337897/1048576 168727/131072 -114391/131072
cell 168727/131072 1361997/1048576 1
cell 1361997/1048576 687221/524288 1
cell 687221/524288 86697/65536 -254847/131072
cell 86697/65536 1400127/1048576 494601/1048576
cell 1400127/1048576 706685/524288 1
cell 706685/524288 1426879/1048576 1
cell 1426879/1048576 1440657/1048576 -158723/131072
cell 1440657/1048576 1454705/1048576 68995/524288
cell 1454705/1048576 734511/524288 1
cell 734511/524288 1483611/1048576 1
cell 1483611/1048576 1498471/1048576 1
cell 1498471/1048576 378401/262144 265081/1048576
cell 378401/262144 764505/524288 -9909/65536
cell 764505/524288 1544691/1048576 1
cell 1544691/1048576 1560647/1048576 -100585/524288
cell 1560647/1048576 1576879/1048576 -315541/524288
cell 1576879/1048576 1593387/1048576 1
cell 1593387/1048576 1610173/1048576 2397/32768
cell 1610173/1048576 1627237/1048576 -64281/131072
cell 1627237/1048576 411145/262144 1
cell 411145/262144 1662203/1048576 1
cell 1662203/1048576 840053/524288 -323153/262144
cell 840053/524288 849145/524288 490631/1048576
cell 849145/524288 1716757/1048576 1
cell 1716757/1048576 867753/524288 103629/1048576
cell 867753/524288 877269/524288 -12277/65536
cell 877269/524288 1773855/1048576 1
cell 1773855/1048576 112091/65536 -74941/131072
cell 112091/65536 906671/524288 241725/1048576
cell 906671/524288 1833515/1048576 1
cell 1833515/1048576 1853975/1048576 -250971/524288
cell 1853975/1048576 937361/524288 66959/1048576
cell 937361/524288 1895757/1048576 1
cell 1895757/1048576 1917081/1048576 -1028517/1048576
cell 1917081/1048576 1938695/1048576 392039/524288
cell 1938695/1048576 980299/524288 -476167/1048576
cell 980299/524288 1982793/1048576 1
cell 1982793/1048576 1002639/524288 -378055/1048576
cell 1002639/524288 253507/131072 487965/524288
cell 253507/131072 2051127/1048576 -920353/1048576
cell 2051127/1048576 1037245/524288 1
cell 1037245/524288 524537/262144 -991265/1048576
cell 524537/262144 530525/262144 836269/1048576
cell 530525/262144 2146347/1048576 -400269/1048576
cell 2146347/1048576 1085445/524288 253981/1048576
cell 1085445/524288 2195729/1048576 420089/1048576
cell 2195729/1048576 2220865/1048576 -286741/524288
cell 2220865/1048576 2246299/1048576 1
cell 2246299/1048576 1136015/524288 -1173185/1048576
cell 1136015/524288 574515/262144 1040539/1048576
cell 574515/262144 1162195/524288 -272395/262144
cell 1162195/524288 2351019/1048576 1
cell 2351019/1048576 594487/262144 -523329/524288
cell 594487/262144 2405179/1048576 390547/524288
cell 2405179/1048576 2432711/1048576 -393303/1048576
cell 2432711/1048576 19223/8192 84565/1048576
cell 19223/8192 2488681/1048576 -425867/1048576
cell 2488681/1048576 19665/8192 289383/524288
cell 19665/8192 2545863/1048576 -332109/524288
cell 2545863/1048576 1287455/524288 -25399/524288
cell 1287455/524288 1302131/524288 -141319/524288
cell 1302131/524288 2633919/1048576 -25703/1048576
cell 2633919/1048576 1331941/524288 -262867/1048576
cell 1331941/524288 2694151/1048576 -5/262144
cell 2694151/1048576 2724727/1048576 -323725/1048576
cell 2724727/1048576 1377805/524288 296151/524288
cell 1377805/524288 2786801/1048576 -1290645/1048576
cell 2786801/1048576 704575/262144 -548041/1048576
cell 704575/262144 2850109/1048576 130027/1048576
cell 2850109/1048576 1441113/524288 -258459/524288
cell 1441113/524288 2914653/1048576 -76369/524288
cell 2914653/1048576 2947391/1048576 349167/524288
cell 2947391/1048576 2980439/1048576 -499565/524288
cell 2980439/1048576 3013799/1048576 -400675/524288
cell 3013799/1048576 1523735/524288 -1513837/1048576
cell 1523735/524288 1540727/524288 168217/524288
cell 1540727/524288 1557875/524288 -197827/524288
cell 1557875/524288 393795/131072 1
cell 393795/131072 3185283/1048576 1
cell 3185283/1048576 402565/131072 1
cell 402565/131072 407009/131072 1
cell 407009/131072 3291939/1048576 1
cell 3291939/1048576 1664061/524288 1
cell 1664061/524288 3364621/1048576 123981/1048576
cell 3364621/1048576 850359/262144 -418043/524288
cell 850359/262144 429821/131072 -1073239/1048576
cell 429821/131072 3476017/1048576 -9585/65536
cell 3476017/1048576 3513785/1048576 1
cell 3513785/1048576 1775935/524288 52963/524288
cell 1775935/524288 1795137/524288 36037/1048576
cell 1795137/524288 1814499/524288 -607875/1048576
cell 1814499/524288 3668041/1048576 -138469/524288
cell 3668041/1048576 926851/262144 88049/1048576
cell 926851/262144 3747087/1048576 45581/262144
cell 3747087/1048576 3787091/1048576 -120463/524288
cell 3787091/1048576 3827417/1048576 176449/1048576
cell 3827417/1048576 120877/32768 -313519/1048576
cell 120877/32768 1954517/524288 -12949/1048576
cell 1954517/524288 1975163/524288 -168591/1048576
cell 1975163/524288 3991941/1048576 -111339/1048576
cell 3991941/1048576 504235/131072 -17697/262144
cell 504235/131072 2038071/524288 190903/524288
cell 2038071/524288 4118729/1048576 -126343/262144
cell 4118729/1048576 520205/131072 -85567/524288
cell 520205/131072 4204877/1048576 35893/524288
cell 4204877/1048576 4248439/1048576 52695/1048576
cell 4248439/1048576 2146163/524288 -23291/262144
cell 2146163/524288 4336541/1048576 -64375/524288
cell 4336541/1048576 4381081/1048576 -93561/1048576
cell 4381081/1048576 4425949/1048576 505/1048576
cell 4425949/1048576 4471145/1048576 1893/262144
cell 4471145/1048576 1129167/262144 49323/1048576
cell 1129167/262144 570315/131072 -72799/524288
cell 570315/131072 1152175/262144 27475/524288
cell 1152175/262144 2327605/524288 -46917/262144
cell 2327605/524288 146939/32768 296571/1048576
cell 146939/32768 4749217/1048576 31867/524288
cell 4749217/1048576 1199179/262144 -9985/524288
cell 1199179/262144 2422273/524288 -14493/1048576
cell 2422273/524288 2446353/524288 -32433/131072
cell 2446353/524288 2470599/524288 440615/524288
cell 2470599/524288 2495011/524288 18119/524288
cell 2495011/524288 2519589/524288 88833/1048576
cell 2519589/524288 2544333/524288 -174587/262144
cell 2544333/524288 5138487/1048576 32501/32768
cell 5138487/1048576 2594321/524288 1
cell 2594321/524288 2619565/524288 -169689/1048576
cell 2619565/524288 165311/32768 -1493149/1048576
cell 165311/32768 5341109/1048576 115781/131072
cell 5341109/1048576 674075/131072 -361061/1048576
cell 674075/131072 2722213/524288 -566387/524288
cell 2722213/524288 1374147/262144 -240413/524288
cell 1374147/262144 5549085/1048576 166513/262144
cell 5549085/1048576 5601919/1048576 656047/1048576
cell 5601919/1048576 5655089/1048576 -193647/262144
cell 5655089/1048576 1427149/262144 -31145/262144
cell 1427149/262144 5762441/1048576 92705/524288
cell 5762441/1048576 2908311/524288 3531/16384
cell 2908311/524288 2935571/524288 -100911/1048576
cell 2935571/524288 370375/65536 -42173/1048576
cell 370375/65536 5981197/1048576 -26027/524288
cell 5981197/1048576 6036733/1048576 52509/524288
cell 6036733/1048576 95197/16384 47775/524288
cell 95197/16384 6148823/1048576 95977/1048576
cell 6148823/1048576 6205377/1048576 -80835/262144
cell 6205377/1048576 12231/2048 174225/524288
cell 12231/2048 1579877/262144 14897/1048576
cell 1579877/262144 6377085/1048576 -30121/524288
cell 6377085/1048576 6435003/1048576 23121/524288
cell 6435003/1048576 6493263/1048576 17313/262144
cell 6493263/1048576 6551865/1048576 77783/1048576
cell 6551865/1048576 6610809/1048576 -6769/262144
cell 6610809/1048576 416881/65536 -18895/1048576
cell 416881/65536 3364863/524288 124605/1048576
cell 3364863/524288 6789699/1048576 34597/524288
cell 6789699/1048576 214063/32768 -171237/1048576
cell 214063/32768 6910677/1048576 35739/1048576
cell 6910677/1048576 3485841/524288 95449/1048576
cell 3485841/524288 879129/131072 53521/1048576
cell 879129/131072 7094727/1048576 -451863/1048576
cell 7094727/1048576 223649/32768 43183/1048576
cell 223649/32768 3609577/524288 346125/1048576
cell 3609577/524288 7281885/1048576 -2169/4096
cell 7281885/1048576 1836241/262144 -89469/131072
cell 1836241/262144 1852097/262144 1
cell 1852097/262144 233505/32768 -61289/131072
cell 233505/32768 7536279/1048576 32673/1048576
cell 7536279/1048576 7600745/1048576 695283/1048576
cell 7600745/1048576 7665559/1048576 -39629/1048576
cell 7665559/1048576 3865361/524288 -230081/524288
cell 3865361/524288 974529/131072 146141/524288
cell 974529/131072 1965523/262144 50337/524288
cell 1965523/262144 7928301/1048576 -10275/131072
cell 7928301/1048576 7994859/1048576 -97019/1048576
cell 7994859/1048576 8061767/1048576 100039/1048576
cell 8061767/1048576 15877/2048 11887/262144
cell 15877/2048 1024579/131072 -16995/262144
cell 1024579/131072 8264591/1048576 -5425/65536
cell 8264591/1048576 8332901/1048576 87127/524288
cell 8332901/1048576 8401561/1048576 -67003/524288
cell 8401561/1048576 4235287/524288 -8707/1048576
cell 4235287/524288 4269969/524288 971/65536
cell 4269969/524288 4304827/524288 -7383/524288
cell 4304827/524288 4339861/524288 -15237/262144
cell 4339861/524288 136721/16384 419/524288
cell 136721/16384 4410459/524288 10195/524288
cell 4410459/524288 8892045/1048576 -133187/1048576
cell 8892045/1048576 4481763/524288 82245/1048576
cell 4481763/524288 9035361/1048576 -14807/1048576
cell 9035361/1048576 9107551/1048576 -81183/1048576
cell 9107551/1048576 4590047/524288 19083/524288
cell 4590047/524288 72289/8192 1323/8192
cell 72289/8192 4663123/524288 -41191/262144
cell 4663123/524288 4699927/524288 15503/131072
cell 4699927/524288 9473819/1048576 83913/262144
cell 9473819/1048576 9548139/1048576 -334033/1048576
cell 9548139/1048576 9622815/1048576 6089/32768
cell 9622815/1048576 1212231/131072 -111103/1048576
cell 1212231/131072 9773237/1048576 -49585/262144
cell 9773237/1048576 1231123/131072 74261/524288
cell 1231123/131072 310159/32768 1739/1048576
cell 310159/32768 10001549/1048576 -90709/1048576
cell 10001549/1048576 314949/32768 13353/524288
cell 314949/32768 10155545/1048576 6303/131072
cell 10155545/1048576 10233081/1048576 -38307/524288
cell 10233081/1048576 161109/16384 12831/1048576
cell 161109/16384 10389229/1048576 19989/524288
cell 10389229/1048576 5233921/524288 -7121/131072
cell 5233921/524288 5273407/524288 25873/1048576
cell 5273407/524288 5313073/524288 12843/1048576
cell 5313073/524288 5352919/524288 -12875/1048576
cell 5352919/524288 5392945/524288 6259/524288
cell 5392945/524288 10866303/1048576 10271/524288
cell 10866303/1048576 10947077/1048576 -13149/1048576
cell 10947077/1048576 2757053/262144 52027/1048576
cell 2757053/262144 2777427/262144 -1783/65536
cell 2777427/262144 5595783/524288 8517/262144
cell 5595783/524288 5636893/524288 761/65536
cell 5636893/524288 709773/65536 -5735/131072
cell 709773/65536 714957/65536 21813/1048576
cell 714957/65536 2880655/262144 -26285/1048576
cell 2880655/262144 5803145/524288 -9043/131072
cell 5803145/524288 11690323/1048576 10995/262144
cell 11690323/1048576 11774721/1048576 -6667/262144
cell 11774721/1048576 11859481/1048576 8583/262144
cell 11859481/1048576 5972303/524288 5693/262144
cell 5972303/524288 751881/65536 -30079/1048576
cell 751881/65536 12115949/1048576 6639/524288
cell 12115949/1048576 1525271/131072 10835/1048576
cell 1525271/131072 12288751/1048576 -21309/1048576
cell 12288751/1048576 3093925/262144 21595/1048576
cell 3093925/262144 12463015/1048576 -3025/1048576
cell 12463015/1048576 12550695/1048576 -319/131072
cell 12550695/1048576 6319371/524288 5583/524288
cell 6319371/524288 12727155/1048576 -5975/1048576
cell 12727155/1048576 6407967/524288 429/524288
cell 6407967/524288 12905081/1048576 3457/1048576
cell 12905081/1048576 6497297/524288 -5487/1048576
cell 6497297/524288 13084475/1048576 -829/1048576
cell 13084475/1048576 13174723/1048576 -243/32768
cell 13174723/1048576 13265339/1048576 133/262144
cell 13265339/1048576 3339081/262144 -11305/1048576
cell 3339081/262144 3361919/262144 327/32768
cell 3361919/262144 6769699/524288 -1689/524288
cell 6769699/524288 13 3757/524288
