# dual multiplier for the CMS Extremal Problem 2 constant C_+(A)
# m = 1 on [0,1], the cells below on [1,T], 0 past T; m even.
# C_+(A) <= sup_x |mcheck(x)|,  mcheck(x) = int e^{2 pi i x t} m(t) dt
# 300 geometric cells (p=2.2) on [1,13]; float sup on a 1e-4 grid (not a proof): 1.121411673
# certified in ARB: C_+(11.5) <= 1.12147   (certificates/cplus_dual_cert.py)
A = 11.5
T = 13
cell 599039/524288 150803/131072 1
cell 150803/131072 607509/524288 -1918243/1048576
cell 607509/524288 1223861/1048576 -1503015/524288
cell 1223861/1048576 1232955/1048576 1
cell 1232955/1048576 1242299/1048576 1
cell 1242299/1048576 1251897/1048576 1
cell 1251897/1048576 315437/262144 1
cell 315437/262144 635927/524288 1
cell 635927/524288 1282215/1048576 1
cell 1282215/1048576 646417/524288 1
cell 646417/524288 651855/524288 1
cell 651855/524288 657423/524288 1
cell 657423/524288 1326241/1048576 1
cell 1326241/1048576 1337897/1048576 1
cell 1337897/1048576 168727/131072 1
cell 168727/131072 1361997/1048576 -5987421/1048576
cell 1361997/1048576 687221/524288 1
cell 687221/524288 86697/65536 31695/32768
cell 86697/65536 1400127/1048576 1
cell 1400127/1048576 706685/524288 1
cell 706685/524288 1426879/1048576 1
cell 1426879/1048576 1440657/1048576 -2907375/1048576
cell 1440657/1048576 1454705/1048576 1
cell 1454705/1048576 734511/524288 1
cell 734511/524288 1483611/1048576 803047/1048576
cell 1483611/1048576 1498471/1048576 1
cell 1498471/1048576 378401/262144 1
cell 378401/262144 764505/524288 1
cell 764505/524288 1544691/1048576 -2196283/1048576
cell 1544691/1048576 1560647/1048576 -368295/1048576
cell 1560647/1048576 1576879/1048576 1
cell 1576879/1048576 1593387/1048576 1
cell 1593387/1048576 1610173/1048576 1
cell 1610173/1048576 1627237/1048576 1
cell 1627237/1048576 411145/262144 -2301577/1048576
cell 411145/262144 1662203/1048576 -51965/524288
cell 1662203/1048576 840053/524288 1
cell 840053/524288 849145/524288 1
cell 849145/524288 1716757/1048576 -892227/1048576
cell 1716757/1048576 867753/524288 1
cell 867753/524288 877269/524288 417123/1048576
cell 877269/524288 1773855/1048576 1
cell 1773855/1048576 112091/65536 -97169/65536
cell 112091/65536 906671/524288 1
cell 906671/524288 1833515/1048576 1
cell 1833515/1048576 1853975/1048576 -214729/1048576
cell 1853975/1048576 937361/524288 -1593403/1048576
cell 937361/524288 1895757/1048576 1
cell 1895757/1048576 1917081/1048576 1
cell 1917081/1048576 1938695/1048576 1
cell 1938695/1048576 980299/524288 -37327/16384
cell 980299/524288 1982793/1048576 1
cell 1982793/1048576 1002639/524288 1
cell 1002639/524288 253507/131072 -637047/1048576
cell 253507/131072 2051127/1048576 504849/1048576
cell 2051127/1048576 1037245/524288 1
cell 1037245/524288 524537/262144 -67939/65536
cell 524537/262144 530525/262144 -747845/1048576
cell 530525/262144 2146347/1048576 1
cell 2146347/1048576 1085445/524288 1
cell 1085445/524288 2195729/1048576 -614769/524288
cell 2195729/1048576 2220865/1048576 -235231/524288
cell 2220865/1048576 2246299/1048576 1
cell 2246299/1048576 1136015/524288 1
cell 1136015/524288 574515/262144 -1455521/1048576
cell 574515/262144 1162195/524288 8249/131072
cell 1162195/524288 2351019/1048576 1
cell 2351019/1048576 594487/262144 -1614217/1048576
cell 594487/262144 2405179/1048576 1
cell 2405179/1048576 2432711/1048576 -222957/524288
cell 2432711/1048576 19223/8192 205011/524288
cell 19223/8192 2488681/1048576 -471739/524288
cell 2488681/1048576 19665/8192 1
cell 19665/8192 2545863/1048576 -132871/524288
cell 2545863/1048576 1287455/524288 -518959/524288
cell 1287455/524288 1302131/524288 1
cell 1302131/524288 2633919/1048576 -1050493/1048576
cell 2633919/1048576 1331941/524288 -713427/1048576
cell 1331941/524288 2694151/1048576 1
cell 2694151/1048576 2724727/1048576 -24985/1048576
cell 2724727/1048576 1377805/524288 -169745/131072
cell 1377805/524288 2786801/1048576 1
cell 2786801/1048576 704575/262144 -1693453/1048576
cell 704575/262144 2850109/1048576 1
cell 2850109/1048576 1441113/524288 -309087/524288
cell 1441113/524288 2914653/1048576 -250419/131072
cell 2914653/1048576 2947391/1048576 1
cell 2947391/1048576 2980439/1048576 1
cell 2980439/1048576 3013799/1048576 -479165/262144
cell 3013799/1048576 1523735/524288 -689233/1048576
cell 1523735/524288 1540727/524288 1
cell 1540727/524288 1557875/524288 -1667781/524288
cell 1557875/524288 393795/131072 1
cell 393795/131072 3185283/1048576 1
cell 3185283/1048576 402565/131072 1
cell 402565/131072 407009/131072 1
cell 407009/131072 3291939/1048576 1
cell 3291939/1048576 1664061/524288 1
cell 1664061/524288 3364621/1048576 1
cell 3364621/1048576 850359/262144 982201/1048576
cell 850359/262144 429821/131072 -3040105/1048576
cell 429821/131072 3476017/1048576 1
cell 3476017/1048576 3513785/1048576 -126667/131072
cell 3513785/1048576 1775935/524288 1
cell 1775935/524288 1795137/524288 1
cell 1795137/524288 1814499/524288 -460127/262144
cell 1814499/524288 3668041/1048576 1
cell 3668041/1048576 926851/262144 -223973/262144
cell 926851/262144 3747087/1048576 -271175/1048576
cell 3747087/1048576 3787091/1048576 1
cell 3787091/1048576 3827417/1048576 -1067767/1048576
cell 3827417/1048576 120877/32768 365415/524288
cell 120877/32768 1954517/524288 -229285/1048576
cell 1954517/524288 1975163/524288 -943183/1048576
cell 1975163/524288 3991941/1048576 294497/524288
cell 3991941/1048576 504235/131072 75717/524288
cell 504235/131072 2038071/524288 -286709/524288
cell 2038071/524288 4118729/1048576 303421/1048576
cell 4118729/1048576 520205/131072 -106089/1048576
cell 520205/131072 4204877/1048576 -188409/524288
cell 4204877/1048576 4248439/1048576 -125211/1048576
cell 4248439/1048576 2146163/524288 229337/524288
cell 2146163/524288 4336541/1048576 -466065/1048576
cell 4336541/1048576 4381081/1048576 371477/1048576
cell 4381081/1048576 4425949/1048576 -587879/1048576
cell 4425949/1048576 4471145/1048576 112393/1048576
cell 4471145/1048576 1129167/262144 -83303/1048576
cell 1129167/262144 570315/131072 234451/524288
cell 570315/131072 1152175/262144 -271917/524288
cell 1152175/262144 2327605/524288 319891/1048576
cell 2327605/524288 146939/32768 -536741/1048576
cell 146939/32768 4749217/1048576 240525/524288
cell 4749217/1048576 1199179/262144 3651/131072
cell 1199179/262144 2422273/524288 166053/524288
cell 2422273/524288 2446353/524288 -395467/524288
cell 2446353/524288 2470599/524288 202065/262144
cell 2470599/524288 2495011/524288 -236209/1048576
cell 2495011/524288 2519589/524288 319485/1048576
cell 2519589/524288 2544333/524288 195019/262144
cell 2544333/524288 5138487/1048576 -990177/1048576
cell 5138487/1048576 2594321/524288 275185/524288
cell 2594321/524288 2619565/524288 664373/1048576
cell 2619565/524288 165311/32768 1
cell 165311/32768 5341109/1048576 -607213/524288
cell 5341109/1048576 674075/131072 -837997/1048576
cell 674075/131072 2722213/524288 1
cell 2722213/524288 1374147/262144 -1088163/1048576
cell 1374147/262144 5549085/1048576 -169813/131072
cell 5549085/1048576 5601919/1048576 1
cell 5601919/1048576 5655089/1048576 57179/65536
cell 5655089/1048576 1427149/262144 -1227947/1048576
cell 1427149/262144 5762441/1048576 336795/1048576
cell 5762441/1048576 2908311/524288 -380299/1048576
cell 2908311/524288 2935571/524288 414395/524288
cell 2935571/524288 370375/65536 -121233/262144
cell 370375/65536 5981197/1048576 8931/131072
cell 5981197/1048576 6036733/1048576 -80627/524288
cell 6036733/1048576 95197/16384 152831/524288
cell 95197/16384 6148823/1048576 80083/1048576
cell 6148823/1048576 6205377/1048576 -67797/262144
cell 6205377/1048576 12231/2048 132011/524288
cell 12231/2048 1579877/262144 -214967/1048576
cell 1579877/262144 6377085/1048576 194989/524288
cell 6377085/1048576 6435003/1048576 -40827/262144
cell 6435003/1048576 6493263/1048576 -9103/524288
cell 6493263/1048576 6551865/1048576 2413/524288
cell 6551865/1048576 6610809/1048576 258399/1048576
cell 6610809/1048576 416881/65536 -11363/1048576
cell 416881/65536 3364863/524288 -103005/524288
cell 3364863/524288 6789699/1048576 70855/524288
cell 6789699/1048576 214063/32768 108437/524288
cell 214063/32768 6910677/1048576 -38513/524288
cell 6910677/1048576 3485841/524288 -39791/131072
cell 3485841/524288 879129/131072 183251/524288
cell 879129/131072 7094727/1048576 -50231/524288
cell 7094727/1048576 223649/32768 -10303/131072
cell 223649/32768 3609577/524288 -37761/131072
cell 3609577/524288 7281885/1048576 29271/524288
cell 7281885/1048576 1836241/262144 271591/1048576
cell 1836241/262144 1852097/262144 -421699/524288
cell 1852097/262144 233505/32768 -94841/524288
cell 233505/32768 7536279/1048576 1
cell 7536279/1048576 7600745/1048576 -104459/131072
cell 7600745/1048576 7665559/1048576 545741/1048576
cell 7665559/1048576 3865361/524288 695971/1048576
cell 3865361/524288 974529/131072 -926263/1048576
cell 974529/131072 1965523/262144 145249/524288
cell 1965523/262144 7928301/1048576 63401/262144
cell 7928301/1048576 7994859/1048576 -90677/1048576
cell 7994859/1048576 8061767/1048576 -60493/262144
cell 8061767/1048576 15877/2048 66217/262144
cell 15877/2048 1024579/131072 -319/16384
cell 1024579/131072 8264591/1048576 -15281/131072
cell 8264591/1048576 8332901/1048576 35309/1048576
cell 8332901/1048576 8401561/1048576 29349/1048576
cell 8401561/1048576 4235287/524288 3819/262144
cell 4235287/524288 4269969/524288 -105431/1048576
cell 4269969/524288 4304827/524288 1661/131072
cell 4304827/524288 4339861/524288 82021/1048576
cell 4339861/524288 136721/16384 -109161/1048576
cell 136721/16384 4410459/524288 -11695/131072
cell 4410459/524288 8892045/1048576 141043/1048576
cell 8892045/1048576 4481763/524288 -59241/1048576
cell 4481763/524288 9035361/1048576 -54901/262144
cell 9035361/1048576 9107551/1048576 4411/16384
cell 9107551/1048576 4590047/524288 -172889/1048576
cell 4590047/524288 72289/8192 -34909/1048576
cell 72289/8192 4663123/524288 28449/262144
cell 4663123/524288 4699927/524288 27351/262144
cell 4699927/524288 9473819/1048576 -149069/1048576
cell 9473819/1048576 9548139/1048576 45049/262144
cell 9548139/1048576 9622815/1048576 146101/524288
cell 9622815/1048576 1212231/131072 -114783/262144
cell 1212231/131072 9773237/1048576 370487/1048576
cell 9773237/1048576 1231123/131072 -91173/262144
cell 1231123/131072 310159/32768 -1967/262144
cell 310159/32768 10001549/1048576 231515/1048576
cell 10001549/1048576 314949/32768 -216631/1048576
cell 314949/32768 10155545/1048576 705/32768
cell 10155545/1048576 10233081/1048576 56049/524288
cell 10233081/1048576 161109/16384 -137589/1048576
cell 161109/16384 10389229/1048576 63845/1048576
cell 10389229/1048576 5233921/524288 31/524288
cell 5233921/524288 5273407/524288 -2557/262144
cell 5273407/524288 5313073/524288 -28985/1048576
cell 5313073/524288 5352919/524288 24189/524288
cell 5352919/524288 5392945/524288 -17043/1048576
cell 5392945/524288 10866303/1048576 -29411/1048576
cell 10866303/1048576 10947077/1048576 17539/262144
cell 10947077/1048576 2757053/262144 -12421/1048576
cell 2757053/262144 2777427/262144 -2813/65536
cell 2777427/262144 5595783/524288 545/4096
cell 5595783/524288 5636893/524288 -63707/524288
cell 5636893/524288 709773/65536 51743/524288
cell 709773/65536 714957/65536 -10183/524288
cell 714957/65536 2880655/262144 -7899/131072
cell 2880655/262144 5803145/524288 1951/65536
cell 5803145/524288 11690323/1048576 -20889/1048576
cell 11690323/1048576 11774721/1048576 -21497/262144
cell 11774721/1048576 11859481/1048576 80927/1048576
cell 11859481/1048576 5972303/524288 -56789/1048576
cell 5972303/524288 751881/65536 39597/524288
cell 751881/65536 12115949/1048576 -2785/131072
cell 12115949/1048576 1525271/131072 -27585/1048576
cell 1525271/131072 12288751/1048576 27387/524288
cell 12288751/1048576 3093925/262144 -11865/262144
cell 3093925/262144 12463015/1048576 14981/524288
cell 12463015/1048576 12550695/1048576 -8645/1048576
cell 12550695/1048576 6319371/524288 -527/262144
cell 6319371/524288 12727155/1048576 891/131072
cell 12727155/1048576 6407967/524288 6405/1048576
cell 6407967/524288 12905081/1048576 -11099/1048576
cell 12905081/1048576 6497297/524288 7739/524288
cell 6497297/524288 13084475/1048576 -9773/1048576
cell 13084475/1048576 13174723/1048576 -8391/1048576
cell 13174723/1048576 13265339/1048576 2019/131072
cell 13265339/1048576 3339081/262144 -34123/1048576
cell 3339081/262144 3361919/262144 25751/1048576
cell 3361919/262144 6769699/524288 -30893/1048576
cell 6769699/524288 13 3177/131072
