# dual multiplier for the CMS Extremal Problem 2 constant C_+(A)
# m = 1 on [0,1], the cells below on [1,T], 0 past T; m even.
# C_+(A) <= sup_x |mcheck(x)|,  mcheck(x) = int e^{2 pi i x t} m(t) dt
# 300 geometric cells (p=2.2) on [1,13]; float sup on a 1e-4 grid (not a proof): 1.110740533
# certified in ARB: C_+(19) <= 1.11079   (certificates/cplus_dual_cert.py)
A = 19
T = 13
cell 657423/524288 1326241/1048576 28595/32768
cell 1326241/1048576 1337897/1048576 -1196715/524288
cell 1337897/1048576 168727/131072 1
cell 168727/131072 1361997/1048576 1
cell 1361997/1048576 687221/524288 1
cell 687221/524288 86697/65536 -636207/1048576
cell 86697/65536 1400127/1048576 -96511/32768
cell 1400127/1048576 706685/524288 1
cell 706685/524288 1426879/1048576 1
cell 1426879/1048576 1440657/1048576 1
cell 1440657/1048576 1454705/1048576 1
cell 1454705/1048576 734511/524288 -1452135/1048576
cell 734511/524288 1483611/1048576 1
cell 1483611/1048576 1498471/1048576 101143/262144
cell 1498471/1048576 378401/262144 1
cell 378401/262144 764505/524288 1
cell 764505/524288 1544691/1048576 1
cell 1544691/1048576 1560647/1048576 -715153/524288
cell 1560647/1048576 1576879/1048576 1
cell 1576879/1048576 1593387/1048576 -176605/131072
cell 1593387/1048576 1610173/1048576 292815/1048576
cell 1610173/1048576 1627237/1048576 1
cell 1627237/1048576 411145/262144 1
cell 411145/262144 1662203/1048576 1
cell 1662203/1048576 840053/524288 -1079827/1048576
cell 840053/524288 849145/524288 -1007193/1048576
cell 849145/524288 1716757/1048576 1
cell 1716757/1048576 867753/524288 1
cell 867753/524288 877269/524288 255099/1048576
cell 877269/524288 1773855/1048576 -761197/1048576
cell 1773855/1048576 112091/65536 1
cell 112091/65536 906671/524288 34227/65536
cell 906671/524288 1833515/1048576 -826833/1048576
cell 1833515/1048576 1853975/1048576 1
cell 1853975/1048576 937361/524288 529567/1048576
cell 937361/524288 1895757/1048576 -1186303/1048576
cell 1895757/1048576 1917081/1048576 1
cell 1917081/1048576 1938695/1048576 -17147/131072
cell 1938695/1048576 980299/524288 -328651/1048576
cell 980299/524288 1982793/1048576 1
cell 1982793/1048576 1002639/524288 128073/524288
cell 1002639/524288 253507/131072 -673621/1048576
cell 253507/131072 2051127/1048576 1
cell 2051127/1048576 1037245/524288 -193843/262144
cell 1037245/524288 524537/262144 81315/262144
cell 524537/262144 530525/262144 622991/1048576
cell 530525/262144 2146347/1048576 -6119/8192
cell 2146347/1048576 1085445/524288 1
cell 1085445/524288 2195729/1048576 -115845/131072
cell 2195729/1048576 2220865/1048576 645621/1048576
cell 2220865/1048576 2246299/1048576 41843/524288
cell 2246299/1048576 1136015/524288 -227171/1048576
cell 1136015/524288 574515/262144 657921/1048576
cell 574515/262144 1162195/524288 -674011/524288
cell 1162195/524288 2351019/1048576 1
cell 2351019/1048576 594487/262144 -5809/8192
cell 594487/262144 2405179/1048576 1
cell 2405179/1048576 2432711/1048576 -1023489/1048576
cell 2432711/1048576 19223/8192 697493/1048576
cell 19223/8192 2488681/1048576 -270257/262144
cell 2488681/1048576 19665/8192 1
cell 19665/8192 2545863/1048576 -266317/262144
cell 2545863/1048576 1287455/524288 73479/1048576
cell 1287455/524288 1302131/524288 170479/1048576
cell 1302131/524288 2633919/1048576 3273/65536
cell 2633919/1048576 1331941/524288 -1216461/1048576
cell 1331941/524288 2694151/1048576 718847/1048576
cell 2694151/1048576 2724727/1048576 -333445/524288
cell 2724727/1048576 1377805/524288 1
cell 1377805/524288 2786801/1048576 -892793/524288
cell 2786801/1048576 704575/262144 220429/1048576
cell 704575/262144 2850109/1048576 -1033087/1048576
cell 2850109/1048576 1441113/524288 308583/1048576
cell 1441113/524288 2914653/1048576 -85137/1048576
cell 2914653/1048576 2947391/1048576 4177/131072
cell 2947391/1048576 2980439/1048576 -204765/1048576
cell 2980439/1048576 3013799/1048576 -789685/524288
cell 3013799/1048576 1523735/524288 -439635/1048576
cell 1523735/524288 1540727/524288 -139599/262144
cell 1540727/524288 1557875/524288 -398653/1048576
cell 1557875/524288 393795/131072 1
cell 393795/131072 3185283/1048576 1
cell 3185283/1048576 402565/131072 1
cell 402565/131072 407009/131072 1
cell 407009/131072 3291939/1048576 1
cell 3291939/1048576 1664061/524288 1
cell 1664061/524288 3364621/1048576 48095/524288
cell 3364621/1048576 850359/262144 -252213/1048576
cell 850359/262144 429821/131072 -1200793/1048576
cell 429821/131072 3476017/1048576 -87589/262144
cell 3476017/1048576 3513785/1048576 400619/1048576
cell 3513785/1048576 1775935/524288 961449/1048576
cell 1775935/524288 1795137/524288 -556141/1048576
cell 1795137/524288 1814499/524288 58577/131072
cell 1814499/524288 3668041/1048576 -1440837/1048576
cell 3668041/1048576 926851/262144 453155/1048576
cell 926851/262144 3747087/1048576 42871/65536
cell 3747087/1048576 3787091/1048576 -659701/524288
cell 3787091/1048576 3827417/1048576 1
cell 3827417/1048576 120877/32768 -197265/524288
cell 120877/32768 1954517/524288 -57409/262144
cell 1954517/524288 1975163/524288 -105583/1048576
cell 1975163/524288 3991941/1048576 -152971/1048576
cell 3991941/1048576 504235/131072 43003/1048576
cell 504235/131072 2038071/524288 23133/131072
cell 2038071/524288 4118729/1048576 -182861/524288
cell 4118729/1048576 520205/131072 -120473/1048576
cell 520205/131072 4204877/1048576 44169/1048576
cell 4204877/1048576 4248439/1048576 -50629/1048576
cell 4248439/1048576 2146163/524288 -138013/1048576
cell 2146163/524288 4336541/1048576 67441/1048576
cell 4336541/1048576 4381081/1048576 -191977/1048576
cell 4381081/1048576 4425949/1048576 -163963/1048576
cell 4425949/1048576 4471145/1048576 440243/1048576
cell 4471145/1048576 1129167/262144 -192079/524288
cell 1129167/262144 570315/131072 -22199/262144
cell 570315/131072 1152175/262144 97967/524288
cell 1152175/262144 2327605/524288 -140357/1048576
cell 2327605/524288 146939/32768 143791/524288
cell 146939/32768 4749217/1048576 -307795/1048576
cell 4749217/1048576 1199179/262144 190711/524288
cell 1199179/262144 2422273/524288 23041/524288
cell 2422273/524288 2446353/524288 -303501/524288
cell 2446353/524288 2470599/524288 115955/131072
cell 2470599/524288 2495011/524288 20203/65536
cell 2495011/524288 2519589/524288 -77213/524288
cell 2519589/524288 2544333/524288 -511383/1048576
cell 2544333/524288 5138487/1048576 177479/262144
cell 5138487/1048576 2594321/524288 1
cell 2594321/524288 2619565/524288 311791/1048576
cell 2619565/524288 165311/32768 -366411/262144
cell 165311/32768 5341109/1048576 217405/1048576
cell 5341109/1048576 674075/131072 427919/1048576
cell 674075/131072 2722213/524288 -166221/131072
cell 2722213/524288 1374147/262144 -530665/1048576
cell 1374147/262144 5549085/1048576 65405/262144
cell 5549085/1048576 5601919/1048576 424541/524288
cell 5601919/1048576 5655089/1048576 -169517/524288
cell 5655089/1048576 1427149/262144 -232403/524288
cell 1427149/262144 5762441/1048576 -29837/524288
cell 5762441/1048576 2908311/524288 39067/65536
cell 2908311/524288 2935571/524288 -96531/262144
cell 2935571/524288 370375/65536 307265/1048576
cell 370375/65536 5981197/1048576 -215111/524288
cell 5981197/1048576 6036733/1048576 67671/262144
cell 6036733/1048576 95197/16384 52351/524288
cell 95197/16384 6148823/1048576 4775/262144
cell 6148823/1048576 6205377/1048576 -163065/1048576
cell 6205377/1048576 12231/2048 182045/1048576
cell 12231/2048 1579877/262144 60841/1048576
cell 1579877/262144 6377085/1048576 -2331/131072
cell 6377085/1048576 6435003/1048576 13275/262144
cell 6435003/1048576 6493263/1048576 10771/524288
cell 6493263/1048576 6551865/1048576 167981/1048576
cell 6551865/1048576 6610809/1048576 -220085/1048576
cell 6610809/1048576 416881/65536 246187/1048576
cell 416881/65536 3364863/524288 -1299/65536
cell 3364863/524288 6789699/1048576 -2705/262144
cell 6789699/1048576 214063/32768 -11127/524288
cell 214063/32768 6910677/1048576 50299/1048576
cell 6910677/1048576 3485841/524288 -74871/524288
cell 3485841/524288 879129/131072 386919/1048576
cell 879129/131072 7094727/1048576 -74229/131072
cell 7094727/1048576 223649/32768 -11973/262144
cell 223649/32768 3609577/524288 48253/131072
cell 3609577/524288 7281885/1048576 -137121/524288
cell 7281885/1048576 1836241/262144 -498931/524288
cell 1836241/262144 1852097/262144 210349/262144
cell 1852097/262144 233505/32768 3347/131072
cell 233505/32768 7536279/1048576 -431195/1048576
cell 7536279/1048576 7600745/1048576 743301/1048576
cell 7600745/1048576 7665559/1048576 95557/524288
cell 7665559/1048576 3865361/524288 -422247/1048576
cell 3865361/524288 974529/131072 -28827/524288
cell 974529/131072 1965523/262144 99527/262144
cell 1965523/262144 7928301/1048576 -122507/1048576
cell 7928301/1048576 7994859/1048576 -136425/1048576
cell 7994859/1048576 8061767/1048576 44247/1048576
cell 8061767/1048576 15877/2048 20933/131072
cell 15877/2048 1024579/131072 -68763/524288
cell 1024579/131072 8264591/1048576 -20199/524288
cell 8264591/1048576 8332901/1048576 12003/131072
cell 8332901/1048576 8401561/1048576 -13711/262144
cell 8401561/1048576 4235287/524288 -11899/262144
cell 4235287/524288 4269969/524288 4285/262144
cell 4269969/524288 4304827/524288 -1599/65536
cell 4304827/524288 4339861/524288 -30109/524288
cell 4339861/524288 136721/16384 51061/1048576
cell 136721/16384 4410459/524288 -43091/524288
cell 4410459/524288 8892045/1048576 -8145/524288
cell 8892045/1048576 4481763/524288 1639/131072
cell 4481763/524288 9035361/1048576 -16939/1048576
cell 9035361/1048576 9107551/1048576 -10347/1048576
cell 9107551/1048576 4590047/524288 -42039/524288
cell 4590047/524288 72289/8192 240551/1048576
cell 72289/8192 4663123/524288 -11241/131072
cell 4663123/524288 4699927/524288 -22245/262144
cell 4699927/524288 9473819/1048576 250165/524288
cell 9473819/1048576 9548139/1048576 -150295/524288
cell 9548139/1048576 9622815/1048576 42327/1048576
cell 9622815/1048576 1212231/131072 87291/1048576
cell 1212231/131072 9773237/1048576 -147291/524288
cell 9773237/1048576 1231123/131072 4409/65536
cell 1231123/131072 310159/32768 131037/1048576
cell 310159/32768 10001549/1048576 -146673/1048576
cell 10001549/1048576 314949/32768 -17001/1048576
cell 314949/32768 10155545/1048576 28927/262144
cell 10155545/1048576 10233081/1048576 -54153/524288
cell 10233081/1048576 161109/16384 2585/524288
cell 161109/16384 10389229/1048576 10795/262144
cell 10389229/1048576 5233921/524288 -41745/1048576
cell 5233921/524288 5273407/524288 165/16384
cell 5273407/524288 5313073/524288 4841/262144
cell 5313073/524288 5352919/524288 -2783/262144
cell 5352919/524288 5392945/524288 1287/65536
cell 5392945/524288 10866303/1048576 -865/524288
cell 10866303/1048576 10947077/1048576 7983/524288
cell 10947077/1048576 2757053/262144 26105/1048576
cell 2757053/262144 2777427/262144 -5141/524288
cell 2777427/262144 5595783/524288 20395/1048576
cell 5595783/524288 5636893/524288 11299/524288
cell 5636893/524288 709773/65536 -14019/524288
cell 709773/65536 714957/65536 -231/8192
cell 714957/65536 2880655/262144 38341/1048576
cell 2880655/262144 5803145/524288 -27743/262144
cell 5803145/524288 11690323/1048576 39591/1048576
cell 11690323/1048576 11774721/1048576 -299/65536
cell 11774721/1048576 11859481/1048576 -105/16384
cell 11859481/1048576 5972303/524288 60625/1048576
cell 5972303/524288 751881/65536 -19641/524288
cell 751881/65536 12115949/1048576 -1511/1048576
cell 12115949/1048576 1525271/131072 18053/524288
cell 1525271/131072 12288751/1048576 -18779/524288
cell 12288751/1048576 3093925/262144 12991/524288
cell 3093925/262144 12463015/1048576 489/1048576
cell 12463015/1048576 12550695/1048576 -4851/1048576
cell 12550695/1048576 6319371/524288 9917/1048576
cell 6319371/524288 12727155/1048576 -2085/524288
cell 12727155/1048576 6407967/524288 11/131072
cell 6407967/524288 12905081/1048576 367/262144
cell 12905081/1048576 6497297/524288 -1829/1048576
cell 6497297/524288 13084475/1048576 -3503/1048576
cell 13084475/1048576 13174723/1048576 -3563/524288
cell 13174723/1048576 13265339/1048576 579/262144
cell 13265339/1048576 3339081/262144 -7063/524288
cell 3339081/262144 3361919/262144 3447/524288
cell 3361919/262144 6769699/524288 1691/1048576
cell 6769699/524288 13 6825/1048576
