# dual multiplier for the CMS Extremal Problem 2 constant C_+(A)
# m = 1 on [0,1], the cells below on [1,T], 0 past T; m even.
# C_+(A) <= sup_x |mcheck(x)|,  mcheck(x) = int e^{2 pi i x t} m(t) dt
# 300 geometric cells (p=2.2) on [1,7]; float sup on a 1e-4 grid (not a proof): 1.111350235
# certified in ARB: C_+(32) <= 1.11138   (certificates/cplus_dual_cert.py)
A = 32
T = 7
cell 38261/32768 1230973/1048576 261979/524288
cell 1230973/1048576 38679/32768 -3672087/1048576
cell 38679/32768 1244617/1048576 1
cell 1244617/1048576 156455/131072 1
cell 156455/131072 1258799/1048576 1
cell 1258799/1048576 1266093/1048576 1
cell 1266093/1048576 1273523/1048576 -2659063/1048576
cell 1273523/1048576 640545/524288 495803/1048576
cell 640545/524288 1288793/1048576 1
cell 1288793/1048576 648317/524288 1
cell 648317/524288 1304611/1048576 1
cell 1304611/1048576 1312727/1048576 1
cell 1312727/1048576 660491/524288 1
cell 660491/524288 664687/524288 -835215/524288
cell 664687/524288 668953/524288 -120005/1048576
cell 668953/524288 673289/524288 1
cell 673289/524288 1355389/1048576 195977/262144
cell 1355389/1048576 1364341/1048576 -372113/262144
cell 1364341/1048576 1373433/1048576 1
cell 1373433/1048576 691333/524288 1
cell 691333/524288 1392041/1048576 1
cell 1392041/1048576 1401557/1048576 484681/1048576
cell 1401557/1048576 1411215/1048576 -220619/131072
cell 1411215/1048576 177627/131072 1
cell 177627/131072 1430959/1048576 1
cell 1430959/1048576 720523/524288 1
cell 720523/524288 1451275/1048576 -337019/524288
cell 1451275/1048576 1461649/1048576 1
cell 1461649/1048576 1472167/1048576 341811/1048576
cell 1472167/1048576 1482829/1048576 -594317/262144
cell 1482829/1048576 1493635/1048576 1
cell 1493635/1048576 1504587/1048576 1
cell 1504587/1048576 378921/262144 1
cell 378921/262144 1526927/1048576 442531/1048576
cell 1526927/1048576 384579/262144 208335/524288
cell 384579/262144 1549851/1048576 1031009/1048576
cell 1549851/1048576 1561533/1048576 -2481135/1048576
cell 1561533/1048576 786681/524288 1
cell 786681/524288 792669/524288 1
cell 792669/524288 798731/524288 1
cell 798731/524288 1609733/1048576 -320107/262144
cell 1609733/1048576 1622153/1048576 516547/1048576
cell 1622153/1048576 1634721/1048576 1
cell 1634721/1048576 1647437/1048576 -420481/524288
cell 1647437/1048576 1660303/1048576 176585/262144
cell 1660303/1048576 836659/524288 1
cell 836659/524288 1686483/1048576 1
cell 1686483/1048576 1699797/1048576 -854123/524288
cell 1699797/1048576 856631/524288 10281/1048576
cell 856631/524288 1726877/1048576 448203/524288
cell 1726877/1048576 1740643/1048576 -112623/262144
cell 1740643/1048576 27415/16384 1
cell 27415/16384 442157/262144 1
cell 442157/262144 27857/16384 -193179/262144
cell 27857/16384 449305/262144 116731/262144
cell 449305/262144 1811743/1048576 -371697/1048576
cell 1811743/1048576 1826419/1048576 -515645/1048576
cell 1826419/1048576 57539/32768 1028405/1048576
cell 57539/32768 1856229/1048576 463587/1048576
cell 1856229/1048576 467841/262144 1
cell 467841/262144 1886651/1048576 -1155231/1048576
cell 1886651/1048576 1902093/1048576 6209/32768
cell 1902093/1048576 1917689/1048576 1
cell 1917689/1048576 966719/524288 -78359/131072
cell 966719/524288 974671/524288 -191725/1048576
cell 974671/524288 1965401/1048576 294493/1048576
cell 1965401/1048576 1981615/1048576 379633/524288
cell 1981615/1048576 1997983/1048576 550859/1048576
cell 1997983/1048576 503627/262144 -278997/262144
cell 503627/262144 2031187/1048576 1
cell 2031187/1048576 2048023/1048576 -785979/1048576
cell 2048023/1048576 2065015/1048576 428773/524288
cell 2065015/1048576 2082163/1048576 -890433/1048576
cell 2082163/1048576 524867/262144 1
cell 524867/262144 2116929/1048576 148413/262144
cell 2116929/1048576 533637/262144 -117071/131072
cell 533637/262144 538081/262144 130747/524288
cell 538081/262144 1085129/524288 -1135/32768
cell 1085129/524288 2188349/1048576 540527/1048576
cell 2188349/1048576 1103299/524288 -121129/131072
cell 1103299/524288 1112503/524288 1
cell 1112503/524288 560893/262144 6015/524288
cell 560893/262144 2262297/1048576 -92687/1048576
cell 2262297/1048576 570295/262144 -521665/1048576
cell 570295/262144 2300223/1048576 511967/1048576
cell 2300223/1048576 2319425/1048576 -119077/524288
cell 2319425/1048576 2338787/1048576 -233885/524288
cell 2338787/1048576 589577/262144 1
cell 589577/262144 1188995/524288 46335/262144
cell 1188995/524288 2397831/1048576 -577035/524288
cell 2397831/1048576 1208917/524288 4085/16384
cell 1208917/524288 609499/262144 -36515/65536
cell 609499/262144 153645/65536 411175/524288
cell 153645/65536 2478805/1048576 76189/1048576
cell 2478805/1048576 2499451/1048576 -197881/524288
cell 2499451/1048576 2520259/1048576 -225049/524288
cell 2520259/1048576 635307/262144 -10175/524288
cell 635307/262144 2562359/1048576 124127/1048576
cell 2562359/1048576 645913/262144 -528297/1048576
cell 645913/262144 651277/262144 1
cell 651277/262144 1313363/524288 -254081/262144
cell 1313363/524288 2648507/1048576 -74687/524288
cell 2648507/1048576 2670451/1048576 -815935/1048576
cell 2670451/1048576 1346279/524288 242919/262144
cell 1346279/524288 2714829/1048576 -463235/1048576
cell 2714829/1048576 2737263/1048576 -110019/1048576
cell 2737263/1048576 689965/262144 -151729/524288
cell 689965/262144 1391311/524288 -948467/1048576
cell 1391311/524288 701387/262144 145129/1048576
cell 701387/262144 1414319/524288 163189/524288
cell 1414319/524288 2851893/1048576 107667/1048576
cell 2851893/1048576 179707/65536 -665675/524288
cell 179707/65536 2898897/1048576 62921/524288
cell 2898897/1048576 1461323/524288 -271751/262144
cell 1461323/524288 2946561/1048576 341711/524288
cell 2946561/1048576 2970641/1048576 14131/524288
cell 2970641/1048576 2994887/1048576 -684253/1048576
cell 2994887/1048576 3019299/1048576 -326043/262144
cell 3019299/1048576 3043877/1048576 -99811/262144
cell 3043877/1048576 3068621/1048576 68755/524288
cell 3068621/1048576 773383/262144 -1054977/1048576
cell 773383/262144 3118609/1048576 155433/524288
cell 3118609/1048576 3143853/1048576 1
cell 3143853/1048576 198079/65536 1
cell 198079/65536 1597421/524288 1
cell 1597421/524288 805147/262144 1
cell 805147/262144 3246501/1048576 1
cell 3246501/1048576 1636291/524288 1
cell 1636291/524288 3298831/1048576 1
cell 3298831/1048576 51957/16384 -2223737/1048576
cell 51957/16384 3351833/1048576 579789/1048576
cell 3351833/1048576 1689293/524288 164717/524288
cell 1689293/524288 851377/262144 98123/262144
cell 851377/262144 3432599/1048576 -890595/1048576
cell 3432599/1048576 3459859/1048576 66121/262144
cell 3459859/1048576 435911/131072 -78899/524288
cell 435911/131072 3514887/1048576 329677/1048576
cell 3514887/1048576 1771327/524288 -132127/1048576
cell 1771327/524288 111581/32768 -106851/131072
cell 111581/32768 3598699/1048576 1
cell 3598699/1048576 3626977/1048576 -52403/131072
cell 3626977/1048576 14279/4096 -204709/524288
cell 14279/4096 1842021/524288 469809/1048576
cell 1842021/524288 1856415/524288 -162697/262144
cell 1856415/524288 3741789/1048576 544541/1048576
cell 3741789/1048576 3770919/1048576 -20169/1048576
cell 3770919/1048576 950055/262144 -934743/1048576
cell 950055/262144 957423/262144 842513/1048576
cell 957423/262144 482417/131072 -33147/262144
cell 482417/131072 3889151/1048576 -31175/65536
cell 3889151/1048576 3919137/1048576 93613/524288
cell 3919137/1048576 246831/65536 293027/1048576
cell 246831/65536 1989813/524288 -516287/1048576
cell 1989813/524288 4010129/1048576 13285/131072
cell 4010129/1048576 1010201/262144 -98565/524288
cell 1010201/262144 1017913/262144 100569/262144
cell 1017913/262144 256417/65536 -479723/1048576
cell 256417/65536 4133865/1048576 15243/1048576
cell 4133865/1048576 4165231/1048576 3209/32768
cell 4165231/1048576 2098385/524288 7115/1048576
cell 2098385/524288 2114241/524288 -212117/524288
cell 2114241/524288 266273/65536 136957/524288
cell 266273/65536 4292427/1048576 -165509/1048576
cell 4292427/1048576 4324661/1048576 190581/1048576
cell 4324661/1048576 1089267/262144 -186243/524288
cell 1089267/262144 4389649/1048576 61275/524288
cell 4389649/1048576 1105601/262144 -1865/131072
cell 1105601/262144 2227667/524288 245477/1048576
cell 2227667/524288 2244219/524288 -648315/1048576
cell 2244219/524288 4521717/1048576 76841/262144
cell 4521717/1048576 4555171/1048576 438441/1048576
cell 4555171/1048576 17925/4096 -155295/262144
cell 17925/4096 1155651/262144 14747/131072
cell 1155651/262144 4656583/1048576 105099/524288
cell 4656583/1048576 2345369/524288 204523/1048576
cell 2345369/524288 4725069/1048576 -723397/1048576
cell 4725069/1048576 4759575/1048576 504307/1048576
cell 4759575/1048576 4794257/1048576 236813/1048576
cell 4794257/1048576 4829115/1048576 -211541/1048576
cell 4829115/1048576 4864149/1048576 -443261/1048576
cell 4864149/1048576 153105/32768 1
cell 153105/32768 4934747/1048576 -83515/262144
cell 4934747/1048576 4970311/1048576 -389005/1048576
cell 4970311/1048576 5006051/1048576 83577/262144
cell 5006051/1048576 5041969/1048576 1
cell 5041969/1048576 5078063/1048576 -304475/262144
cell 5078063/1048576 5114335/1048576 457315/1048576
cell 5114335/1048576 80481/16384 1
cell 80481/16384 5187411/1048576 42145/1048576
cell 5187411/1048576 5224215/1048576 -60101/262144
cell 5224215/1048576 5261197/1048576 -87019/131072
cell 5261197/1048576 5298357/1048576 46387/1048576
cell 5298357/1048576 333481/65536 13547/65536
cell 333481/65536 1343303/262144 -214373/524288
cell 1343303/262144 5410907/1048576 -777245/1048576
cell 5410907/1048576 1362195/262144 83399/131072
cell 1362195/262144 342927/65536 -12121/65536
cell 342927/65536 2762531/524288 -25839/131072
cell 2762531/524288 347717/65536 216961/1048576
cell 347717/65536 5602061/1048576 85837/1048576
cell 5602061/1048576 5640829/1048576 -68881/262144
cell 5640829/1048576 177493/32768 150979/524288
cell 177493/32768 5718903/1048576 -163401/1048576
cell 5718903/1048576 5758209/1048576 48649/1048576
cell 5758209/1048576 5797695/1048576 -29121/1048576
cell 5797695/1048576 5837361/1048576 154259/1048576
cell 5837361/1048576 5877207/1048576 -146103/524288
cell 5877207/1048576 5917233/1048576 169903/524288
cell 5917233/1048576 5957439/1048576 -249835/1048576
cell 5957439/1048576 2998913/524288 29401/262144
cell 2998913/524288 3019197/524288 1085/1048576
cell 3019197/524288 3039571/524288 -8869/131072
cell 3039571/524288 6120071/1048576 51211/524288
cell 6120071/1048576 6161181/1048576 -5207/524288
cell 6161181/1048576 775309/131072 -31643/524288
cell 775309/131072 780493/131072 62651/524288
cell 780493/131072 3142799/524288 -99455/1048576
cell 3142799/524288 6327433/1048576 95139/1048576
cell 6327433/1048576 3184725/524288 -3663/524288
cell 3184725/524288 50091/8192 -5875/524288
cell 50091/8192 6454029/1048576 -5025/1048576
cell 6454029/1048576 6496591/1048576 2017/32768
cell 6496591/1048576 817417/131072 -9053/524288
cell 817417/131072 6582263/1048576 -24749/524288
cell 6582263/1048576 1656343/262144 206057/1048576
cell 1656343/262144 833583/131072 -3813/16384
cell 833583/131072 3356069/524288 73563/524288
cell 3356069/524288 1688949/262144 23947/524288
cell 1688949/262144 1699909/262144 -103679/524288
cell 1699909/262144 6843659/1048576 257679/1048576
cell 6843659/1048576 6887865/1048576 -30839/524288
cell 6887865/1048576 6932255/1048576 -187235/1048576
cell 6932255/1048576 1744207/262144 355963/1048576
cell 1744207/262144 7021585/1048576 -170487/524288
cell 7021585/1048576 7066525/1048576 40579/1048576
cell 7066525/1048576 3555825/524288 307383/1048576
cell 3555825/524288 3578479/524288 -293321/524288
cell 3578479/524288 3601225/524288 214217/524288
cell 3601225/524288 3624063/524288 -136299/1048576
cell 3624063/524288 7293987/1048576 -35289/65536
cell 7293987/1048576 7 279271/524288
